schema_version,trace_version,trace_sha256,rpc_method_model,deadline_model,offered_load_definition,warmup_requests,measurement_requests,measured_generated_work_us,experiment_duration_us,latency_sample_count,scenario,workload,method,rho,seed,check_period_us,epsilon_us,budget_per_check,k_candidates,h_targets,migration_cost_us,service_estimate_mode,service_estimate_noise_cv,service_estimate_ewma_alpha,w2_hot_core_count,w2_hot_dispatch_prob,target_insert_policy,hybrid_pressure_ratio,hybrid_min_gain_us,work_steal_poll_us,work_steal_max_per_poll,alto_queue_threshold_us,alto_min_gain_us,target_safety_enabled,rescuable_filter_enabled,P99_us,P999_us,slo_violation_rate,total_finished,total_generated,migration_rate,invalid_migration_ratio,intra_move_rate,intra_move_count,intra_moved_work_us,steal_attempt_count,steal_success_count,stolen_task_count,steal_poll_count,steal_idle_core_check_count,proactive_intra_attempt_count,proactive_intra_success_count,invalid_intra_move_ratio,rescue_attempt_count,rescue_candidate_count,locally_doomed_count,remote_feasible_count,target_safe_count,rescue_success_count,migration_handoff_count,avg_migration_handoff_us,max_migration_handoff_us,max_rescue_commits_per_check,max_target_reservation_work_us,descriptor_handoff_count,avg_descriptor_handoff_us,max_descriptor_handoff_us,rescue_moved_work_us,target_unsafe_reject_count,remote_infeasible_reject_count,needless_migration_count,unsaved_migration_count,beneficial_migration_count,harmful_migration_count,predicted_target_unsafe_accept_count,target_harm_watch_count,harmful_actual_count,harmful_actual_ratio,target_induced_miss_actual,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration,relief_attempt_count,relief_success_count,relief_beneficial_count,relief_useless_count,relief_moved_work_us,relief_beneficial_migration_ratio,relief_useless_migration_ratio
rescuesched-v2,rescuesched-trace-v2,8d34f68426688c919a5a75fa37f06c6adad262663046c3d4a552abacc29cb2ed,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60689e+07,2.30681e+06,1000000,rescue_w3_heavytail_main,W3,L0_RandomCore,0.85,23,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,1.01e+03,1.61e+03,0.594095,1000000,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,8d34f68426688c919a5a75fa37f06c6adad262663046c3d4a552abacc29cb2ed,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60689e+07,2.30638e+06,1000000,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.85,23,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,163,326,0.056531,1000000,1200000,0,0,0.643435,643435,1.73603e+07,5302621,643435,643435,1922659,4517297,0,0,0,0,0,0,0,0,0,0,0,0,0,123.934,643435,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,8d34f68426688c919a5a75fa37f06c6adad262663046c3d4a552abacc29cb2ed,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60689e+07,2.30639e+06,1000000,rescue_w3_heavytail_main,W3,M0_AltoThreshold,0.85,23,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,209,367,0.056955,1000000,1200000,0,0,0.348482,348482,5.35081e+06,0,0,0,0,0,1922670,348482,0.0091626,0,0,0,0,0,0,0,0,0,0,132.031,348482,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,8d34f68426688c919a5a75fa37f06c6adad262663046c3d4a552abacc29cb2ed,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60689e+07,2.30639e+06,1000000,rescue_w3_heavytail_main,W3,M1_RescueSched,0.85,23,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,214,385,0.047505,1000000,1200000,0,0,0.334656,334656,5.20021e+06,0,0,0,0,0,0,0,0,1922670,19276863,2161340,1470089,1430492,334656,334656,0.5,0.5,1,134.23,334656,0.5,0.5,5.20021e+06,39597,7175271,0,7391,327265,2759,0,39404,2759,0.00824429,2978,0.977915,0.0303297,0.977915,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,b6aee5cc5ca5e01dbc80405dbfc32382836b80221a44ed72919c9fcd1cc9ad51,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60828e+07,2.30522e+06,1000000,rescue_w3_heavytail_main,W3,L0_RandomCore,0.85,37,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,986,1.42e+03,0.597053,1000000,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,b6aee5cc5ca5e01dbc80405dbfc32382836b80221a44ed72919c9fcd1cc9ad51,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60828e+07,2.30479e+06,1000000,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.85,37,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,162,335,0.057792,1000000,1200000,0,0,0.64287,642870,1.73328e+07,5219106,642870,642870,1918525,4436476,0,0,0,0,0,0,0,0,0,0,0,0,0,118.214,642870,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,b6aee5cc5ca5e01dbc80405dbfc32382836b80221a44ed72919c9fcd1cc9ad51,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60828e+07,2.30481e+06,1000000,rescue_w3_heavytail_main,W3,M0_AltoThreshold,0.85,37,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,209,374,0.057355,1000000,1200000,0,0,0.349412,349412,5.37462e+06,0,0,0,0,0,1918551,349412,0.0091239,0,0,0,0,0,0,0,0,0,0,109.549,349412,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,b6aee5cc5ca5e01dbc80405dbfc32382836b80221a44ed72919c9fcd1cc9ad51,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.60828e+07,2.3048e+06,1000000,rescue_w3_heavytail_main,W3,M1_RescueSched,0.85,37,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,213,385,0.048718,1000000,1200000,0,0,0.335032,335032,5.22051e+06,0,0,0,0,0,0,0,0,1918539,19303044,2186939,1465234,1428688,335032,335032,0.5,0.5,1,112.029,335032,0.5,0.5,5.22051e+06,36546,7282522,0,7683,327349,2831,0,40137,2831,0.00844994,3070,0.977068,0.0313821,0.977068,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,823f783438d72fa4b0ec37a5919723202728af56e51c0c45fea37db879eeea53,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.61161e+07,2.30243e+06,1000000,rescue_w3_heavytail_main,W3,L0_RandomCore,0.85,47,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,1.07e+03,1.61e+03,0.601885,1000000,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,823f783438d72fa4b0ec37a5919723202728af56e51c0c45fea37db879eeea53,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,200000,1000000,2.61161e+07,2.30183e+06,1000000,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.85,47,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,165,333,0.060522,1000000,1200000,0,0,0.63965,639650,1.72626e+07,5182309,639650,639650,1918531,4403987,0,0,0,0,0,0,0,0,0,0,0,0,0,162.474,639650,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
