profile,dimension,value,workload,rho,baseline,paired_seeds,mean_slo_reduction,ci95_low,ci95_high,relative_slo_reduction,p99_rescue_over_baseline,p999_rescue_over_baseline,rescue_work_rate_median,baseline_work_rate_median,relative_work_reduction,descriptive_only
baseline,baseline,corrected-default,W2,0.85,L1_WorkStealingPolling,5,0.039146,0.0365726,0.0418686,0.17950886126101007,5.808695652173913,4.983193277310924,0.2645337424956093,0.6180402891890548,0.5719797768480268,1
baseline,baseline,corrected-default,W2,0.85,M0_AltoThreshold,5,0.0297894,0.027017999999999997,0.0331764,0.142726822354949,7.67816091954023,9.095092024539877,0.2645337424956093,0.3762833192410846,0.29698254222605436,1
baseline,baseline,corrected-default,W3,0.7,L1_WorkStealingPolling,5,-0.011616,-0.011719199999999999,-0.0115242,-1.2191435768261965,1.3092105263157894,1.115264797507788,0.14360421427147393,0.6629656325241156,0.7833911635438353,1
baseline,baseline,corrected-default,W3,0.7,M0_AltoThreshold,5,0.002705199999999999,0.002584199999999999,0.002814599999999999,0.11342938127903658,1.0,1.0028011204481793,0.14360421427147393,0.1422117257349671,-0.009791657680196852,1
baseline,baseline,corrected-default,W3,0.85,L1_WorkStealingPolling,5,0.009048400000000002,0.008796000000000002,0.009300800000000001,0.15554936686229814,1.3048780487804879,1.173780487804878,0.20007744567301056,0.6645298817611606,0.6989188128865503,1
baseline,baseline,corrected-default,W3,0.85,M0_AltoThreshold,5,0.008978200000000002,0.008432400000000003,0.009533400000000003,0.15452905659857766,1.0239234449760766,1.0405405405405406,0.20007744567301056,0.20615884797644424,0.029498623819087966,1
baseline,baseline,corrected-default,W3,0.9,L1_WorkStealingPolling,5,0.0206366,0.019722600000000003,0.021455600000000005,0.1740210546199071,1.2659574468085106,1.2645348837209303,0.2221624978913307,0.5906382750318218,0.6238603096296778,1
baseline,baseline,corrected-default,W3,0.9,M0_AltoThreshold,5,0.019878399999999997,0.019370799999999997,0.020415799999999994,0.16870606966390161,1.0818181818181818,1.12987012987013,0.2221624978913307,0.24750831965893233,0.10240391839162544,1
ewma-0.01,ewma-alpha,0.01,W2,0.85,L1_WorkStealingPolling,5,0.039146,0.0365726,0.0418686,0.17950886126101007,5.808695652173913,4.983193277310924,0.2645337424956093,0.6180402891890548,0.5719797768480268,1
ewma-0.01,ewma-alpha,0.01,W2,0.85,M0_AltoThreshold,5,0.0297894,0.027017999999999997,0.0331764,0.142726822354949,7.67816091954023,9.095092024539877,0.2645337424956093,0.3762833192410846,0.29698254222605436,1
ewma-0.01,ewma-alpha,0.01,W3,0.7,L1_WorkStealingPolling,5,-0.0114936,-0.011633600000000001,-0.011367,-1.2061200075555647,1.3026315789473684,1.115264797507788,0.14254987961415186,0.6630507617906196,0.7850091006166935,1
ewma-0.01,ewma-alpha,0.01,W3,0.7,M0_AltoThreshold,5,0.0025858,0.0025001999999999997,0.0026714,0.10952695605028634,1.0,1.0056179775280898,0.14254987961415186,0.14102061370085434,-0.01084427214691841,1
ewma-0.01,ewma-alpha,0.01,W3,0.85,L1_WorkStealingPolling,5,0.0102522,0.009972599999999998,0.010606399999999998,0.17603909461487474,1.298780487804878,1.1676829268292683,0.19836443940067783,0.6657578206075738,0.702047150990056,1
ewma-0.01,ewma-alpha,0.01,W3,0.85,M0_AltoThreshold,5,0.008701399999999998,0.008396799999999996,0.009013799999999997,0.15349795545394565,1.0191387559808613,1.037940379403794,0.19836443940067783,0.2034793043691628,0.025137027985928873,1
ewma-0.01,ewma-alpha,0.01,W3,0.9,L1_WorkStealingPolling,5,0.022616400000000002,0.022062800000000004,0.0232664,0.190456140114494,1.2606382978723405,1.2703488372093024,0.2197501801953778,0.5933527075314,0.6296466209623748,1
ewma-0.01,ewma-alpha,0.01,W3,0.9,M0_AltoThreshold,5,0.0198516,0.019280799999999997,0.020436000000000003,0.17115838591251537,1.082191780821918,1.1321243523316062,0.2197501801953778,0.2435532228135016,0.09773240667133676,1
