scenario,workload,method,rho,seed,check_period_us,epsilon_us,budget_per_check,k_candidates,h_targets,migration_cost_us,service_estimate_mode,service_estimate_noise_cv,service_estimate_ewma_alpha,w2_hot_core_count,w2_hot_dispatch_prob,target_insert_policy,hybrid_pressure_ratio,hybrid_min_gain_us,target_safety_enabled,rescuable_filter_enabled,P99_us,P999_us,slo_violation_rate,total_finished,total_generated,migration_rate,invalid_migration_ratio,intra_move_rate,intra_move_count,intra_moved_work_us,steal_attempt_count,steal_success_count,stolen_task_count,proactive_intra_attempt_count,proactive_intra_success_count,invalid_intra_move_ratio,rescue_attempt_count,rescue_candidate_count,locally_doomed_count,remote_feasible_count,target_safe_count,rescue_success_count,rescue_moved_work_us,target_unsafe_reject_count,remote_infeasible_reject_count,needless_migration_count,unsaved_migration_count,beneficial_migration_count,harmful_migration_count,predicted_target_unsafe_accept_count,target_harm_watch_count,harmful_actual_count,harmful_actual_ratio,target_induced_miss_actual,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration,relief_attempt_count,relief_success_count,relief_beneficial_count,relief_useless_count,relief_moved_work_us,relief_beneficial_migration_ratio,relief_useless_migration_ratio
rescue_hybrid_w2_main,W2,M1_RescueSched,0.85,11,1,2,1,16,4,0.5,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,1,1e+04,1e+04,0.75122,1000000,1202132,0,0,0.101211,121669,2.98425e+06,0,0,0,0,0,0,1687338,274726861,270530947,1747767,363629,121669,2.98425e+06,1384138,1080376021,0,0,121667,0,0,91190,0,0,0,0.999984,0,0.999984,0,0,0,0,0,0,0
rescue_hybrid_w2_main,W2,M1_RescueSched,0.85,23,1,2,1,16,4,0.5,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,1,1e+04,1e+04,0.658639,1000000,1202298,0,0,0.143542,172580,4.12852e+06,0,0,0,0,0,0,1698538,227018117,221238459,2336433,592458,172580,4.12852e+06,1743975,882617403,0,0,172580,0,0,130781,0,0,0,1,0,1,0,0,0,0,0,0,0
rescue_hybrid_w2_main,W2,M1_RescueSched,0.85,37,1,2,1,16,4,0.5,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,1,1e+04,1e+04,0.687816,1000000,1200696,0,0,0.129427,155403,3.69316e+06,0,0,0,0,0,0,1692091,242955854,237751171,2064692,522176,155403,3.69316e+06,1542516,948939992,0,0,155400,0,0,116022,0,0,0,0.999981,0,0.999981,0,0,0,0,0,0,0
rescue_hybrid_w2_main,W2,M1_RescueSched,0.85,47,1,2,1,16,4,0.5,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,1,1e+04,1e+04,0.694345,1000000,1201478,0,0,0.126925,152498,3.68346e+06,0,0,0,0,0,0,1690950,244970178,239776737,2082161,490302,152498,3.68346e+06,1591859,957024787,0,0,152494,0,0,116964,0,0,0,0.999974,0,0.999974,0,0,0,0,0,0,0
rescue_hybrid_w2_main,W2,M1_RescueSched,0.85,59,1,2,1,16,4,0.5,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,1,1e+04,1e+04,0.679807,1000000,1200785,0,0,0.132845,159518,3.75705e+06,0,0,0,0,0,0,1695884,240606190,235288214,2079532,529387,159518,3.75705e+06,1550145,939073324,0,0,159513,0,0,118576,0,0,0,0.999969,0,0.999969,0,0,0,0,0,0,0
rescue_hybrid_w2_main,W2,M1_RescueSched_NoRescuable,0.85,11,1,2,1,16,4,0.5,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,0,3.07e+03,5.61e+03,0.575078,1000000,1200111,0,0,0.323573,388324,9.2418e+06,0,0,0,0,0,0,1687733,75446498,72194589,10337751,12756176,388324,9.2418e+06,279964780,0,71332,142831,174149,0,0,258431,0,0,0,0.448463,0.551506,0.448463,0,0,0,0,0,0,0
rescue_hybrid_w2_main,W2,M1_RescueSched_NoRescuable,0.85,23,1,2,1,16,4,0.5,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,0,2.18e+03,3.69e+03,0.542989,1000000,1200216,0,0,0.33731,404845,9.86345e+06,0,0,0,0,0,0,1696451,68727249,65325417,10735422,12378361,404845,9.86345e+06,253033607,0,77689,140178,186972,0,0,263578,0,0,0,0.461836,0.538149,0.461836,0,0,0,0,0,0,0
rescue_hybrid_w2_main,W2,M1_RescueSched_NoRescuable,0.85,37,1,2,1,16,4,0.5,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,0,1.77e+03,3.04e+03,0.539359,1000000,1200015,0,0,0.340252,408307,9.91663e+06,0,0,0,0,0,0,1692310,68234546,64858715,10563735,12561256,408307,9.91663e+06,250903256,0,78436,141279,188583,0,0,266146,0,0,0,0.461866,0.538112,0.461866,0,0,0,0,0,0,0
rescue_hybrid_w2_main,W2,M1_RescueSched_NoRescuable,0.85,47,1,2,1,16,4,0.5,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,0,2.16e+03,4.08e+03,0.530425,1000000,1200180,0,0,0.349151,419044,1.02235e+07,0,0,0,0,0,0,1691498,65050495,61662374,10632893,12789985,419044,1.02235e+07,237892131,0,81445,144394,193201,0,0,273718,0,0,0,0.461052,0.538939,0.461052,0,0,0,0,0,0,0
rescue_hybrid_w2_main,W2,M1_RescueSched_NoRescuable,0.85,59,1,2,1,16,4,0.5,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,0,2.97e+03,5.08e+03,0.538678,1000000,1200098,0,0,0.335523,402661,9.93174e+06,0,0,0,0,0,0,1696346,68317132,64941784,10308422,11746797,402661,9.93174e+06,252089543,0,79773,134451,188430,0,0,261042,0,0,0,0.467962,0.532021,0.467962,0,0,0,0,0,0,0
rescue_hybrid_w2_main,W2,M1_RescueSched_Hybrid,0.85,11,1,2,1,16,4,0.5,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,1,1e+04,1e+04,0.745979,1000000,1202147,0,0,0.103526,124453,3.07498e+06,0,0,0,0,0,0,1687780,271061761,266754473,1797485,375735,124453,3.07498e+06,1421750,1065220407,15,0,124436,0,0,92991,0,0,0,0.999863,0.000120527,0.999863,1563550,223,223,0,17068.3,1,0
rescue_hybrid_w2_main,W2,M1_RescueSched_Hybrid,0.85,23,1,2,1,16,4,0.5,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,1,1e+04,1e+04,0.648441,1000000,1202249,0,0,0.152417,183243,4.96983e+06,0,0,0,0,0,0,1698440,218012912,212073467,2251683,594234,183243,4.96983e+06,1657449,846042185,7824,0,175419,0,0,134540,0,0,0,0.957303,0.0426974,0.957303,1527255,12058,12058,0,1.01015e+06,1,0
rescue_hybrid_w2_main,W2,M1_RescueSched_Hybrid,0.85,37,1,2,1,16,4,0.5,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,1,1e+04,1e+04,0.680379,1000000,1200566,0,0,0.133911,160769,3.90187e+06,0,0,0,0,0,0,1691835,237128634,231686261,2153036,541559,160769,3.90187e+06,1611477,924592008,138,0,160626,0,0,123772,0,0,0,0.999111,0.000858374,0.999111,1531888,822,822,0,64071.2,1,0
rescue_hybrid_w2_main,W2,M1_RescueSched_Hybrid,0.85,47,1,2,1,16,4,0.5,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,1,1e+04,1e+04,0.695743,1000000,1201460,0,0,0.126375,151835,3.69414e+06,0,0,0,0,0,0,1690767,245106090,239954162,2097936,489962,151835,3.69414e+06,1607974,957718712,0,0,151828,0,0,115782,0,0,0,0.999954,0,0.999954,1538971,39,39,0,3126.9,1,0
rescue_hybrid_w2_main,W2,M1_RescueSched_Hybrid,0.85,59,1,2,1,16,4,0.5,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,1,1e+04,1e+04,0.667016,1000000,1200858,0,0,0.139313,167295,3.96569e+06,0,0,0,0,0,0,1696429,232437323,226856254,2232841,564742,167295,3.96569e+06,1668099,905192175,0,0,167293,0,0,124776,0,0,0,0.999988,0,0.999988,1529532,398,398,0,31325.8,1,0
rescue_hybrid_w2_main,W2,L1_WorkStealing,0.9,11,1,2,1,16,4,0.5,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,1,1e+04,1e+04,0.999282,1000000,1229680,0,0,0.000725392,892,18778.2,892,892,892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
