source,scenario,workload,rho,method,service_estimate_mode,migration_cost_us,w2_hot_core_count,w2_hot_dispatch_prob,target_insert_policy,P99_us,P999_us,slo_violation_rate,intra_move_rate,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration,rescue_success_count,relief_success_count,relief_beneficial_migration_ratio,relief_useless_migration_ratio,predicted_target_unsafe_accept_count,harmful_actual_count,target_induced_miss_actual
w2_boundary,rescue_w2_boundary,W2,0.7,L1_WorkStealing,oracle,0.5,2,0.3,append_tail,394,836,0.180199,0.397254,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.7,M0_IntraHostProactive,oracle,0.5,2,0.3,append_tail,330,484,0.131807,0.436186,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.7,M1_RescueSched,oracle,0.5,2,0.3,append_tail,3780,6970,0.108859,0.326976,0.999997,0,0.999997,392387,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.7,M1_RescueSched_NoRescuable,oracle,0.5,2,0.3,append_tail,300,710,0.118425,0.429157,0.591526,0.408426,0.591526,515009,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.7,M1_RescueSched_NoTargetSafety,oracle,0.5,2,0.3,append_tail,3680,6750,0.108627,0.328262,0.999995,0,0.999995,393930,0,0,0,8033,0,0
w2_boundary,rescue_w2_boundary,W2,0.8,L1_WorkStealing,oracle,0.5,2,0.3,append_tail,1250,2780,0.412395,0.30344,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.8,M0_IntraHostProactive,oracle,0.5,2,0.3,append_tail,804,1160,0.379788,0.537818,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.8,M1_RescueSched,oracle,0.5,2,0.3,append_tail,8670,10000,0.361963,0.262853,0.999987,0,0.999987,315550,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.8,M1_RescueSched_NoRescuable,oracle,0.5,2,0.3,append_tail,960,2370,0.330147,0.407136,0.537219,0.462764,0.537219,488568,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.8,M1_RescueSched_NoTargetSafety,oracle,0.5,2,0.3,append_tail,8450,10000,0.361468,0.268536,0.999991,0,0.999991,322353,0,0,0,24999,0,0
w2_boundary,rescue_w2_boundary,W2,0.85,L1_WorkStealing,oracle,0.5,2,0.3,append_tail,2520,4290,0.62844,0.196831,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.85,M0_IntraHostProactive,oracle,0.5,2,0.3,append_tail,1350,4130,0.635431,0.586556,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.85,M1_RescueSched,oracle,0.5,2,0.3,append_tail,10000,10000,0.650144,0.14715,0.999995,0,0.999995,176668,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.85,M1_RescueSched_NoRescuable,oracle,0.5,2,0.3,append_tail,2280,4100,0.550837,0.322015,0.469378,0.530604,0.469378,386499,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.85,M1_RescueSched_NoTargetSafety,oracle,0.5,2,0.3,append_tail,10000,10000,0.649197,0.155457,0.999987,0,0.999987,186633,0,0,0,32674,0,0
w2_boundary,rescue_w2_boundary,W2,0.9,L1_WorkStealing,oracle,0.5,2,0.3,append_tail,10000,10000,0.999767,0.000183,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.9,M0_IntraHostProactive,oracle,0.5,2,0.3,append_tail,10000,10000,1,0.000346,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.9,M1_RescueSched,oracle,0.5,2,0.3,append_tail,10000,10000,0.999586,0,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.9,M1_RescueSched_NoRescuable,oracle,0.5,2,0.3,append_tail,10000,10000,0.999663,0.000618,0,1,0,761,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.9,M1_RescueSched_NoTargetSafety,oracle,0.5,2,0.3,append_tail,10000,10000,0.999578,0,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.7,L1_WorkStealing,oracle,0.5,2,0.5,append_tail,416,880,0.180747,0.409526,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.7,M0_IntraHostProactive,oracle,0.5,2,0.5,append_tail,330,484,0.132165,0.439993,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.7,M1_RescueSched,oracle,0.5,2,0.5,append_tail,7230,10000,0.135786,0.318989,0.999982,0,0.999982,382797,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.7,M1_RescueSched_NoRescuable,oracle,0.5,2,0.5,append_tail,274,784,0.113973,0.439761,0.591074,0.408878,0.591074,527734,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.7,M1_RescueSched_NoTargetSafety,oracle,0.5,2,0.5,append_tail,7220,10000,0.135855,0.31957,0.999977,0,0.999977,383499,0,0,0,4385,0,0
w2_boundary,rescue_w2_boundary,W2,0.8,L1_WorkStealing,oracle,0.5,2,0.5,append_tail,1350,2910,0.407762,0.320519,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.8,M0_IntraHostProactive,oracle,0.5,2,0.5,append_tail,802,1200,0.3796,0.54104,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.8,M1_RescueSched,oracle,0.5,2,0.5,append_tail,10000,10000,0.436284,0.228121,0.99999,0,0.99999,274129,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.8,M1_RescueSched_NoRescuable,oracle,0.5,2,0.5,append_tail,998,2510,0.323282,0.421481,0.52913,0.470832,0.52913,505782,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.8,M1_RescueSched_NoTargetSafety,oracle,0.5,2,0.5,append_tail,10000,10000,0.430263,0.235058,0.999986,0,0.999986,282463,0,0,0,19847,0,0
w2_boundary,rescue_w2_boundary,W2,0.85,L1_WorkStealing,oracle,0.5,2,0.5,append_tail,2780,4200,0.621115,0.210859,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.85,M0_IntraHostProactive,oracle,0.5,2,0.5,append_tail,1370,3780,0.635106,0.59052,0,0,0,0,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.85,M1_RescueSched,oracle,0.5,2,0.5,append_tail,10000,10000,0.732833,0.106787,0.999991,0,0.999991,128322,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.85,M1_RescueSched_NoRescuable,oracle,0.5,2,0.5,append_tail,2500,4030,0.544296,0.337835,0.455708,0.544263,0.455708,405478,0,0,0,0,0,0
w2_boundary,rescue_w2_boundary,W2,0.85,M1_RescueSched_NoTargetSafety,oracle,0.5,2,0.5,append_tail,10000,10000,0.734782,0.111583,0.999993,0,0.999993,134086,0,0,0,24999,0,0
