scenario,workload,method,rho,seed,check_period_us,epsilon_us,budget_per_check,k_candidates,h_targets,migration_cost_us,service_estimate_mode,service_estimate_noise_cv,service_estimate_ewma_alpha,w2_hot_core_count,w2_hot_dispatch_prob,target_insert_policy,hybrid_pressure_ratio,hybrid_min_gain_us,target_safety_enabled,rescuable_filter_enabled,P99_us,P999_us,slo_violation_rate,total_finished,total_generated,migration_rate,invalid_migration_ratio,intra_move_rate,intra_move_count,intra_moved_work_us,steal_attempt_count,steal_success_count,stolen_task_count,proactive_intra_attempt_count,proactive_intra_success_count,invalid_intra_move_ratio,rescue_attempt_count,rescue_candidate_count,locally_doomed_count,remote_feasible_count,target_safe_count,rescue_success_count,rescue_moved_work_us,target_unsafe_reject_count,remote_infeasible_reject_count,needless_migration_count,unsaved_migration_count,beneficial_migration_count,harmful_migration_count,predicted_target_unsafe_accept_count,target_harm_watch_count,harmful_actual_count,harmful_actual_ratio,target_induced_miss_actual,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration,relief_attempt_count,relief_success_count,relief_beneficial_count,relief_useless_count,relief_moved_work_us,relief_beneficial_migration_ratio,relief_useless_migration_ratio
rescue_estimator_w3_baseline,W3,M0_IntraHostProactive,0.85,47,1,2,1,16,4,0.5,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,1,194,346,0.156097,1000000,1200100,0,0,0.400825,481030,1.03038e+07,0,0,0,1764195,481030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_estimator_w3_baseline,W3,M0_IntraHostProactive,0.85,59,1,2,1,16,4,0.5,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,1,190,344,0.148607,1000000,1200025,0,0,0.396672,476016,1.01568e+07,0,0,0,1766845,476016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_estimator_w3_baseline,W3,M0_IntraHostProactive,0.85,71,1,2,1,16,4,0.5,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,1,190,348,0.15086,1000000,1200020,0,0,0.398433,478127,1.02457e+07,0,0,0,1768271,478127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_estimator_w3_baseline,W3,M0_IntraHostProactive,0.85,83,1,2,1,16,4,0.5,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,1,196,352,0.151334,1000000,1200025,0,0,0.400087,480114,1.02592e+07,0,0,0,1762989,480114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_estimator_w3_baseline,W3,M0_IntraHostProactive,0.85,97,1,2,1,16,4,0.5,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,1,190,344,0.149678,1000000,1200045,0,0,0.397532,477056,1.01718e+07,0,0,0,1766775,477056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_estimator_w3_baseline,W3,M0_IntraHostProactive,0.85,109,1,2,1,16,4,0.5,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,1,198,350,0.157068,1000000,1200078,0,0,0.401863,482267,1.03792e+07,0,0,0,1764549,482267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_estimator_w3_baseline,W3,M0_IntraHostProactive,0.85,131,1,2,1,16,4,0.5,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,1,212,356,0.16709,1000000,1200041,0,0,0.405019,486039,1.05049e+07,0,0,0,1763729,486039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_estimator_oracle,W3,M1_RescueSched,0.85,11,1,2,1,16,4,0.5,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,1,268,588,0.095702,1000000,1200021,0,0,0.285511,342619,6.02689e+06,0,0,0,0,0,0,1765228,34063902,11615901,1763985,1356493,342619,6.02689e+06,407492,44699619,0,0,342613,0,0,126004,0,0,0,0.999982,0,0.999982,0,0,0,0,0,0,0
rescue_estimator_oracle,W3,M1_RescueSched,0.85,23,1,2,1,16,4,0.5,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,1,254,526,0.092833,1000000,1200033,0,0,0.285817,342990,6.02334e+06,0,0,0,0,0,0,1764164,33525051,11096740,1754168,1361733,342990,6.02334e+06,392435,42632792,0,0,342986,0,0,124472,0,0,0,0.999988,0,0.999988,0,0,0,0,0,0,0
rescue_estimator_oracle,W3,M1_RescueSched,0.85,37,1,2,1,16,4,0.5,oracle,0,0.05,4,0.5,append_tail,1.25,5,1,1,258,558,0.094486,1000000,1200055,0,0,0.28778,345352,6.07562e+06,0,0,0,0,0,0,1764532,33637310,11185881,1714280,1365758,345352,6.07562e+06,348522,43029244,0,0,345339,0,0,129555,0,0,0,0.999962,0,0.999962,0,0,0,0,0,0,0
