source,scenario,workload,rho,method,service_estimate_mode,migration_cost_us,w2_hot_core_count,w2_hot_dispatch_prob,target_insert_policy,metric,n,mean,median,ci95_low,ci95_high
estimator_main,rescue_estimator_noisy_oracle_cv_0_5,W3,0.85,M1_RescueSched,noisy_oracle,0.5,4,0.5,append_tail,slo_violation_rate,10,0.131663,0.132161,0.127132,0.136194
estimator_main,rescue_estimator_noisy_oracle_cv_0_5,W3,0.85,M1_RescueSched,noisy_oracle,0.5,4,0.5,append_tail,intra_move_rate,10,0.292244,0.292324,0.291395,0.293092
estimator_main,rescue_estimator_noisy_oracle_cv_0_5,W3,0.85,M1_RescueSched,noisy_oracle,0.5,4,0.5,append_tail,beneficial_migration_ratio,10,0.95197,0.951785,0.950883,0.953056
estimator_main,rescue_estimator_noisy_oracle_cv_0_5,W3,0.85,M1_RescueSched,noisy_oracle,0.5,4,0.5,append_tail,useless_migration_ratio,10,0.069653,0.06962,0.068016,0.07129
estimator_main,rescue_estimator_noisy_oracle_cv_0_5,W3,0.85,M1_RescueSched,noisy_oracle,0.5,4,0.5,append_tail,rescue_per_migration,10,0.95197,0.951785,0.950883,0.953056
estimator_main,rescue_estimator_noisy_oracle_cv_0_5,W3,0.85,M1_RescueSched,noisy_oracle,0.5,4,0.5,append_tail,predicted_target_unsafe_accept_count,10,0,0,0,0
estimator_main,rescue_estimator_noisy_oracle_cv_0_5,W3,0.85,M1_RescueSched,noisy_oracle,0.5,4,0.5,append_tail,harmful_actual_count,10,7590,7620,7399,7781
estimator_main,rescue_estimator_noisy_oracle_cv_0_5,W3,0.85,M1_RescueSched,noisy_oracle,0.5,4,0.5,append_tail,target_induced_miss_actual,10,9737,9779,9497,9978
estimator_main,rescue_estimator_oracle,W3,0.85,M1_RescueSched,oracle,0.5,4,0.5,append_tail,P99_us,10,263,261,253.673535,272.326465
estimator_main,rescue_estimator_oracle,W3,0.85,M1_RescueSched,oracle,0.5,4,0.5,append_tail,P999_us,10,639.8,569,532.624901,746.975099
estimator_main,rescue_estimator_oracle,W3,0.85,M1_RescueSched,oracle,0.5,4,0.5,append_tail,slo_violation_rate,10,0.095612,0.094485,0.092662,0.098563
estimator_main,rescue_estimator_oracle,W3,0.85,M1_RescueSched,oracle,0.5,4,0.5,append_tail,intra_move_rate,10,0.286036,0.285965,0.285206,0.286865
estimator_main,rescue_estimator_oracle,W3,0.85,M1_RescueSched,oracle,0.5,4,0.5,append_tail,beneficial_migration_ratio,10,0.999982,0.999984,0.999976,0.999989
estimator_main,rescue_estimator_oracle,W3,0.85,M1_RescueSched,oracle,0.5,4,0.5,append_tail,useless_migration_ratio,10,0,0,0,0
estimator_main,rescue_estimator_oracle,W3,0.85,M1_RescueSched,oracle,0.5,4,0.5,append_tail,rescue_per_migration,10,0.999982,0.999984,0.999976,0.999989
estimator_main,rescue_estimator_oracle,W3,0.85,M1_RescueSched,oracle,0.5,4,0.5,append_tail,predicted_target_unsafe_accept_count,10,0,0,0,0
estimator_main,rescue_estimator_oracle,W3,0.85,M1_RescueSched,oracle,0.5,4,0.5,append_tail,harmful_actual_count,10,0,0,0,0
estimator_main,rescue_estimator_oracle,W3,0.85,M1_RescueSched,oracle,0.5,4,0.5,append_tail,target_induced_miss_actual,10,0,0,0,0
estimator_main,rescue_estimator_quantile_guard,W3,0.85,M1_RescueSched,quantile_guard,0.5,4,0.5,append_tail,P99_us,10,276.4,275,269.174178,283.625822
estimator_main,rescue_estimator_quantile_guard,W3,0.85,M1_RescueSched,quantile_guard,0.5,4,0.5,append_tail,P999_us,10,634.4,578,549.300686,719.499314
estimator_main,rescue_estimator_quantile_guard,W3,0.85,M1_RescueSched,quantile_guard,0.5,4,0.5,append_tail,slo_violation_rate,10,0.1663,0.165368,0.162707,0.169893
