scenario,workload,method,rho,seed,check_period_us,epsilon_us,budget_per_check,k_candidates,h_targets,target_safety_enabled,rescuable_filter_enabled,P99_us,P999_us,slo_violation_rate,total_finished,total_generated,migration_rate,invalid_migration_ratio,intra_move_rate,intra_move_count,intra_moved_work_us,steal_attempt_count,steal_success_count,stolen_task_count,proactive_intra_attempt_count,proactive_intra_success_count,invalid_intra_move_ratio,rescue_attempt_count,rescue_candidate_count,locally_doomed_count,remote_feasible_count,target_safe_count,rescue_success_count,rescue_moved_work_us,target_unsafe_reject_count,remote_infeasible_reject_count,needless_migration_count,unsaved_migration_count,beneficial_migration_count,harmful_migration_count,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration
rescue_epsilon_sweep,W3,M1_RescueSched,0.85,47,1,0,1,16,4,1,1,254,584,0.092878,1000000,1200119,0,0,0.29013,348191,6.14745e+06,0,0,0,0,0,0,1764222,33909950,11149527,1785196,1394674,348191,6.14745e+06,390522,42812912,0,0,348186,0,0.999986,0,0.999986
rescue_epsilon_sweep,W3,M1_RescueSched,0.85,59,1,0,1,16,4,1,1,246,498,0.089177,1000000,1200026,0,0,0.289012,346822,6.08818e+06,0,0,0,0,0,0,1766842,33035286,10512501,1796997,1397030,346822,6.08818e+06,399967,40253007,0,0,346816,0,0.999983,0,0.999983
rescue_epsilon_sweep,W3,M1_RescueSched,0.85,11,1,2,1,16,4,1,1,268,588,0.095702,1000000,1200021,0,0,0.285511,342619,6.02689e+06,0,0,0,0,0,0,1765228,34063902,11615901,1763985,1356493,342619,6.02689e+06,407492,44699619,0,0,342613,0,0.999982,0,0.999982
rescue_epsilon_sweep,W3,M1_RescueSched,0.85,23,1,2,1,16,4,1,1,254,526,0.092833,1000000,1200033,0,0,0.285817,342990,6.02334e+06,0,0,0,0,0,0,1764164,33525051,11096740,1754168,1361733,342990,6.02334e+06,392435,42632792,0,0,342986,0,0.999988,0,0.999988
rescue_epsilon_sweep,W3,M1_RescueSched,0.85,37,1,2,1,16,4,1,1,258,558,0.094486,1000000,1200055,0,0,0.28778,345352,6.07562e+06,0,0,0,0,0,0,1764532,33637310,11185881,1714280,1365758,345352,6.07562e+06,348522,43029244,0,0,345339,0,0.999962,0,0.999962
rescue_epsilon_sweep,W3,M1_RescueSched,0.85,47,1,2,1,16,4,1,1,260,580,0.09697,1000000,1200116,0,0,0.285507,342642,6.04941e+06,0,0,0,0,0,0,1764216,34110974,11605073,1721697,1354450,342642,6.04941e+06,367247,44698595,0,0,342634,0,0.999977,0,0.999977
rescue_epsilon_sweep,W3,M1_RescueSched,0.85,59,1,2,1,16,4,1,1,252,524,0.092748,1000000,1200025,0,0,0.285102,342130,6.0098e+06,0,0,0,0,0,0,1766838,33220548,10933634,1715488,1359414,342130,6.0098e+06,356074,42019048,0,0,342124,0,0.999982,0,0.999982
rescue_epsilon_sweep,W3,M1_RescueSched,0.85,11,1,5,1,16,4,1,1,272,600,0.102069,1000000,1200012,0,0,0.279225,335073,5.90452e+06,0,0,0,0,0,0,1765218,34403045,12328657,1675531,1298034,335073,5.90452e+06,377497,47639097,0,0,335071,0,0.999994,0,0.999994
rescue_epsilon_sweep,W3,M1_RescueSched,0.85,23,1,5,1,16,4,1,1,262,594,0.099608,1000000,1200031,0,0,0.279657,335597,5.88967e+06,0,0,0,0,0,0,1764155,33934373,11894556,1634423,1304321,335597,5.88967e+06,330102,45943801,0,0,335594,0,0.999991,0,0.999991
rescue_epsilon_sweep,W3,M1_RescueSched,0.85,37,1,5,1,16,4,1,1,264,570,0.101969,1000000,1200047,0,0,0.281171,337419,5.95523e+06,0,0,0,0,0,0,1764519,34121488,12039233,1629952,1304788,337419,5.95523e+06,325164,46526980,0,0,337408,0,0.999967,0,0.999967
rescue_epsilon_sweep,W3,M1_RescueSched,0.85,47,1,5,1,16,4,1,1,262,598,0.103017,1000000,1200111,0,0,0.279859,335862,5.93712e+06,0,0,0,0,0,0,1764207,34354567,12246319,1627597,1298695,335862,5.93712e+06,328902,47357679,0,0,335853,0,0.999973,0,0.999973
rescue_epsilon_sweep,W3,M1_RescueSched,0.85,59,1,5,1,16,4,1,1,258,524,0.099389,1000000,1200026,0,0,0.278938,334733,5.87387e+06,0,0,0,0,0,0,1766840,33571395,11656525,1640604,1302192,334733,5.87387e+06,338412,44985496,0,0,334727,0,0.999982,0,0.999982
rescue_budget_sweep,W3,M1_RescueSched,0.85,11,1,2,1,16,4,1,1,268,588,0.095702,1000000,1200021,0,0,0.285511,342619,6.02689e+06,0,0,0,0,0,0,1765228,34063902,11615901,1763985,1356493,342619,6.02689e+06,407492,44699619,0,0,342613,0,0.999982,0,0.999982
rescue_budget_sweep,W3,M1_RescueSched,0.85,23,1,2,1,16,4,1,1,254,526,0.092833,1000000,1200033,0,0,0.285817,342990,6.02334e+06,0,0,0,0,0,0,1764164,33525051,11096740,1754168,1361733,342990,6.02334e+06,392435,42632792,0,0,342986,0,0.999988,0,0.999988
rescue_budget_sweep,W3,M1_RescueSched,0.85,37,1,2,1,16,4,1,1,258,558,0.094486,1000000,1200055,0,0,0.28778,345352,6.07562e+06,0,0,0,0,0,0,1764532,33637310,11185881,1714280,1365758,345352,6.07562e+06,348522,43029244,0,0,345339,0,0.999962,0,0.999962
