scenario,workload,method,rho,seed,check_period_us,P99_us,P999_us,slo_violation_rate,total_finished,total_generated,migration_rate,invalid_migration_ratio,intra_move_rate,intra_move_count,intra_moved_work_us,steal_attempt_count,steal_success_count,stolen_task_count,proactive_intra_attempt_count,proactive_intra_success_count,invalid_intra_move_ratio
intra_w3_heavytail_check_period,W3,L1_WorkStealing,0.92,11,0,8.49e+03,9.8e+03,0.891699,1000000,1201814,0,0,0.0325158,39078,1.30308e+06,40879,39078,39078,0,0,0
intra_w3_heavytail_check_period,W3,L1_WorkStealing,0.92,23,0,2.52e+03,3.02e+03,0.862145,1000000,1200090,0,0,0.040587,48708,1.59113e+06,50523,48708,48708,0,0,0
intra_w3_heavytail_check_period,W3,L1_WorkStealing,0.92,37,0,7.65e+03,1e+04,0.940265,1000000,1201796,0,0,0.0175379,21077,673782,21733,21077,21077,0,0,0
intra_w3_heavytail_check_period,W3,L1_WorkStealing,0.92,47,0,4.11e+03,5.84e+03,0.930913,1000000,1201588,0,0,0.0204887,24619,756179,25292,24619,24619,0,0,0
intra_w3_heavytail_check_period,W3,L1_WorkStealing,0.92,59,0,4.67e+03,7.2e+03,0.863453,1000000,1200742,0,0,0.0396213,47575,1.59397e+06,49266,47575,47575,0,0,0
intra_w3_heavytail_check_period,W3,M0_IntraHostProactive,0.92,11,5,9.92e+03,1e+04,0.941374,1000000,1201793,0,0,0.159576,191777,4.91158e+06,0,0,0,326497,191777,0
intra_w3_heavytail_check_period,W3,M0_IntraHostProactive,0.92,23,5,1.82e+03,2.32e+03,0.929422,1000000,1200090,0,0,0.231267,277541,7.132e+06,0,0,0,325994,277541,0
intra_w3_heavytail_check_period,W3,M0_IntraHostProactive,0.92,37,5,7.61e+03,9.05e+03,0.977972,1000000,1201831,0,0,0.0992086,119232,3.08206e+06,0,0,0,326594,119232,0
intra_w3_heavytail_check_period,W3,M0_IntraHostProactive,0.92,47,5,3.63e+03,4.97e+03,0.978505,1000000,1201616,0,0,0.17288,207735,5.39214e+06,0,0,0,326346,207735,0
intra_w3_heavytail_check_period,W3,M0_IntraHostProactive,0.92,59,5,4.15e+03,6.26e+03,0.929735,1000000,1200734,0,0,0.199794,239900,6.15782e+06,0,0,0,326150,239900,0
