scenario,workload,method,rho,seed,check_period_us,P99_us,P999_us,slo_violation_rate,total_finished,total_generated,migration_rate,invalid_migration_ratio,intra_move_rate,intra_move_count,intra_moved_work_us,steal_attempt_count,steal_success_count,stolen_task_count,proactive_intra_attempt_count,proactive_intra_success_count,invalid_intra_move_ratio
intra_w3_heavytail_check_period,W3,L1_WorkStealing,0.92,11,0,8.49e+03,9.8e+03,0.891699,1000000,1201814,0,0,0.0325158,39078,1.30308e+06,40879,39078,39078,0,0,0
intra_w3_heavytail_check_period,W3,L1_WorkStealing,0.92,23,0,2.52e+03,3.02e+03,0.862145,1000000,1200090,0,0,0.040587,48708,1.59113e+06,50523,48708,48708,0,0,0
intra_w3_heavytail_check_period,W3,L1_WorkStealing,0.92,37,0,7.65e+03,1e+04,0.940265,1000000,1201796,0,0,0.0175379,21077,673782,21733,21077,21077,0,0,0
intra_w3_heavytail_check_period,W3,L1_WorkStealing,0.92,47,0,4.11e+03,5.84e+03,0.930913,1000000,1201588,0,0,0.0204887,24619,756179,25292,24619,24619,0,0,0
intra_w3_heavytail_check_period,W3,L1_WorkStealing,0.92,59,0,4.67e+03,7.2e+03,0.863453,1000000,1200742,0,0,0.0396213,47575,1.59397e+06,49266,47575,47575,0,0,0
intra_w3_heavytail_check_period,W3,M0_IntraHostProactive,0.92,11,2,9.5e+03,1e+04,0.936681,1000000,1201791,0,0,0.287632,345674,8.8085e+06,0,0,0,816250,345674,0
intra_w3_heavytail_check_period,W3,M0_IntraHostProactive,0.92,23,2,1.79e+03,2.23e+03,0.923392,1000000,1200091,0,0,0.420535,504680,1.29021e+07,0,0,0,814997,504680,0
intra_w3_heavytail_check_period,W3,M0_IntraHostProactive,0.92,37,2,7.66e+03,8.97e+03,0.976139,1000000,1201834,0,0,0.169007,203118,5.24209e+06,0,0,0,816496,203118,0
intra_w3_heavytail_check_period,W3,M0_IntraHostProactive,0.92,47,2,3.5e+03,4.66e+03,0.976184,1000000,1201579,0,0,0.290838,349465,9.0698e+06,0,0,0,815843,349465,0
intra_w3_heavytail_check_period,W3,M0_IntraHostProactive,0.92,59,2,4.38e+03,5.86e+03,0.922395,1000000,1200731,0,0,0.36817,442073,1.13192e+07,0,0,0,815377,442073,0
