scenario,workload,method,rho,seed,P99_us,P999_us,slo_violation_rate,total_finished,total_generated,migration_rate,invalid_migration_ratio,intra_move_rate,intra_move_count,intra_moved_work_us,steal_attempt_count,steal_success_count,stolen_task_count,proactive_intra_attempt_count,proactive_intra_success_count,invalid_intra_move_ratio
intra_w3_heavytail,W3,L0_RandomCore,0.5,11,390,724,0.232146,1000000,1200019,0,0,0,0,0,0,0,0,0,0,0
intra_w3_heavytail,W3,L0_RandomCore,0.5,23,384,704,0.231886,1000000,1200028,0,0,0,0,0,0,0,0,0,0,0
intra_w3_heavytail,W3,L0_RandomCore,0.5,37,400,736,0.234062,1000000,1200022,0,0,0,0,0,0,0,0,0,0,0
intra_w3_heavytail,W3,L0_RandomCore,0.5,47,388,692,0.233559,1000000,1200029,0,0,0,0,0,0,0,0,0,0,0
intra_w3_heavytail,W3,L0_RandomCore,0.5,59,388,698,0.2305,1000000,1200023,0,0,0,0,0,0,0,0,0,0,0
intra_w3_heavytail,W3,L1_WorkStealing,0.5,11,152,326,0.012427,1000000,1200005,0,0,0.339074,406890,1.11445e+07,864840,406890,406890,0,0,0
intra_w3_heavytail,W3,L1_WorkStealing,0.5,23,152,320,0.01225,1000000,1200013,0,0,0.340026,408036,1.11601e+07,864438,408036,408036,0,0,0
intra_w3_heavytail,W3,L1_WorkStealing,0.5,37,154,326,0.012817,1000000,1200015,0,0,0.339738,407691,1.11717e+07,863521,407691,407691,0,0,0
intra_w3_heavytail,W3,L1_WorkStealing,0.5,47,154,322,0.012465,1000000,1200007,0,0,0.340078,408096,1.12117e+07,864207,408096,408096,0,0,0
intra_w3_heavytail,W3,L1_WorkStealing,0.5,59,152,316,0.012354,1000000,1200010,0,0,0.338715,406461,1.11347e+07,865008,406461,406461,0,0,0
intra_w3_heavytail,W3,M0_IntraHostProactive,0.5,11,158,324,0.004441,1000000,1200005,0,0,0.175575,210691,4.57442e+06,0,0,0,3000916,210691,0
intra_w3_heavytail,W3,M0_IntraHostProactive,0.5,23,158,318,0.004391,1000000,1200014,0,0,0.174819,209785,4.51893e+06,0,0,0,2999036,209785,0
intra_w3_heavytail,W3,M0_IntraHostProactive,0.5,37,158,324,0.004644,1000000,1200015,0,0,0.17595,211143,4.62933e+06,0,0,0,2999654,211143,0
intra_w3_heavytail,W3,M0_IntraHostProactive,0.5,47,158,320,0.004564,1000000,1200014,0,0,0.176356,211630,4.59651e+06,0,0,0,2998956,211630,0
intra_w3_heavytail,W3,M0_IntraHostProactive,0.5,59,158,316,0.004558,1000000,1200010,0,0,0.174179,209016,4.50571e+06,0,0,0,3003619,209016,0
