scenario,workload,method,rho,seed,P99_us,P999_us,slo_violation_rate,total_finished,total_generated,migration_rate,invalid_migration_ratio,intra_move_rate,intra_move_count,intra_moved_work_us,steal_attempt_count,steal_success_count,stolen_task_count,proactive_intra_attempt_count,proactive_intra_success_count,invalid_intra_move_ratio
intra_w3_heavytail,W3,L0_RandomCore,0.92,11,1e+04,1e+04,0.986228,1000000,1205403,0,0,0,0,0,0,0,0,0,0,0
intra_w3_heavytail,W3,L0_RandomCore,0.92,23,1e+04,1e+04,0.984713,1000000,1203393,0,0,0,0,0,0,0,0,0,0,0
intra_w3_heavytail,W3,L0_RandomCore,0.92,37,1e+04,1e+04,0.987826,1000000,1205873,0,0,0,0,0,0,0,0,0,0,0
intra_w3_heavytail,W3,L0_RandomCore,0.92,47,1e+04,1e+04,0.988875,1000000,1205130,0,0,0,0,0,0,0,0,0,0,0
intra_w3_heavytail,W3,L0_RandomCore,0.92,59,1e+04,1e+04,0.985388,1000000,1203801,0,0,0,0,0,0,0,0,0,0,0
intra_w3_heavytail,W3,L1_WorkStealing,0.92,11,8.49e+03,9.8e+03,0.891699,1000000,1201814,0,0,0.0325158,39078,1.30308e+06,40879,39078,39078,0,0,0
intra_w3_heavytail,W3,L1_WorkStealing,0.92,23,2.52e+03,3.02e+03,0.862145,1000000,1200090,0,0,0.040587,48708,1.59113e+06,50523,48708,48708,0,0,0
intra_w3_heavytail,W3,L1_WorkStealing,0.92,37,7.65e+03,1e+04,0.940265,1000000,1201796,0,0,0.0175379,21077,673782,21733,21077,21077,0,0,0
intra_w3_heavytail,W3,L1_WorkStealing,0.92,47,4.11e+03,5.84e+03,0.930913,1000000,1201588,0,0,0.0204887,24619,756179,25292,24619,24619,0,0,0
intra_w3_heavytail,W3,L1_WorkStealing,0.92,59,4.67e+03,7.2e+03,0.863453,1000000,1200742,0,0,0.0396213,47575,1.59397e+06,49266,47575,47575,0,0,0
intra_w3_heavytail,W3,M0_IntraHostProactive,0.92,11,9.46e+03,1e+04,0.935923,1000000,1201768,0,0,0.331473,398354,1.01675e+07,0,0,0,1632449,398354,0
intra_w3_heavytail,W3,M0_IntraHostProactive,0.92,23,1.79e+03,2.25e+03,0.923092,1000000,1200090,0,0,0.486984,584425,1.49552e+07,0,0,0,1629992,584425,0
intra_w3_heavytail,W3,M0_IntraHostProactive,0.92,37,7.19e+03,8.29e+03,0.975927,1000000,1201843,0,0,0.194899,234238,6.03134e+06,0,0,0,1633007,234238,0
intra_w3_heavytail,W3,M0_IntraHostProactive,0.92,47,3.58e+03,4.87e+03,0.976098,1000000,1201590,0,0,0.331843,398739,1.03592e+07,0,0,0,1631697,398739,0
intra_w3_heavytail,W3,M0_IntraHostProactive,0.92,59,4.3e+03,6.81e+03,0.921754,1000000,1200723,0,0,0.430181,516528,1.32066e+07,0,0,0,1630735,516528,0
