cluster,workload,method,rho,seed,P99_us,P999_us,slo_violation_rate,migration_rate,invalid_migration_ratio,total_finished,total_generated,batch_candidate_count,batch_selected_count,batch_move_count,summary_update_count,reservation_reject_count,saturation_guard_count
HETERO_25PCT,W2,M1_AQB_PM,0.7,37,1.01e+03,3.04e+03,0.096277,0.045031,0.0105399,1000000,1200951,0,0,0,0,0,0
HETERO_25PCT,W2,M1_AQB_PM,0.7,47,576,1.65e+03,0.074245,0.0450176,0.0121893,1000000,1200953,0,0,0,0,0,0
HETERO_25PCT,W2,M1_AQB_PM,0.7,59,1e+03,3.99e+03,0.085547,0.0450295,0.0141328,1000000,1203655,0,0,0,0,0,0
HETERO_25PCT,W2,M2_DQB_PM,0.7,11,506,670,0.03438,0.0437499,0.00369242,1000000,1200917,1709288,52850,52868,42557424,0,0
HETERO_25PCT,W2,M2_DQB_PM,0.7,23,1.17e+03,4.51e+03,0.07454,0.040269,0.0053142,1000000,1200948,4584619,48555,48601,41706016,0,0
HETERO_25PCT,W2,M2_DQB_PM,0.7,37,2.09e+03,7.3e+03,0.132764,0.0388361,0.00609574,1000000,1203880,6851193,47106,47146,40686832,0,0
HETERO_25PCT,W2,M2_DQB_PM,0.7,47,2.68e+03,6.67e+03,0.181204,0.0382241,0.00614043,1000000,1205730,9304246,46545,46604,39897744,0,0
HETERO_25PCT,W2,M2_DQB_PM,0.7,59,1.12e+03,5.21e+03,0.097869,0.0421651,0.00525287,1000000,1200970,5105538,51008,51056,41229936,0,0
HETERO_25PCT,W2,B1_PowerOf2,0.85,11,4.15e+03,7.4e+03,0.334446,0,0,1000000,1204290,0,0,0,0,0,0
HETERO_25PCT,W2,B1_PowerOf2,0.85,23,7.29e+03,1e+04,0.504416,0,0,1000000,1214957,0,0,0,0,0,0
HETERO_25PCT,W2,B1_PowerOf2,0.85,37,3.25e+03,5.46e+03,0.376403,0,0,1000000,1225690,0,0,0,0,0,0
HETERO_25PCT,W2,B1_PowerOf2,0.85,47,2.68e+03,4.68e+03,0.331041,0,0,1000000,1214173,0,0,0,0,0,0
HETERO_25PCT,W2,B1_PowerOf2,0.85,59,4.71e+03,7.61e+03,0.387212,0,0,1000000,1207275,0,0,0,0,0,0
HETERO_25PCT,W2,B2_Reactive,0.85,11,4.51e+03,7.38e+03,0.530682,0.0113323,0,1000000,1205850,0,0,0,0,0,0
HETERO_25PCT,W2,B2_Reactive,0.85,23,2.83e+03,4.21e+03,0.28441,0.000144935,0,1000000,1207440,0,0,0,0,0,0
HETERO_25PCT,W2,B2_Reactive,0.85,37,8.22e+03,1e+04,0.56962,0.0054909,0.0200147,1000000,1237501,0,0,0,0,0,0
HETERO_25PCT,W2,B2_Reactive,0.85,47,2.45e+03,4.8e+03,0.320711,0.0198818,0.0892975,1000000,1214379,0,0,0,0,0,0
HETERO_25PCT,W2,B2_Reactive,0.85,59,2.99e+03,4.92e+03,0.350303,0.00552047,0,1000000,1204064,0,0,0,0,0,0
HETERO_25PCT,W2,M0_Proactive,0.85,11,2.75e+03,4.86e+03,0.467783,0.0435856,0.129008,1000000,1201520,0,0,0,0,0,0
HETERO_25PCT,W2,M0_Proactive,0.85,23,1.08e+03,2.79e+03,0.234072,0.0404281,0.0831738,1000000,1201467,0,0,0,0,0,0
HETERO_25PCT,W2,M0_Proactive,0.85,37,2.79e+03,5.97e+03,0.308522,0.0405001,0.0999287,1000000,1212712,0,0,0,0,0,0
HETERO_25PCT,W2,M0_Proactive,0.85,47,6.21e+03,1e+04,0.531288,0.0403577,0.150986,1000000,1228860,0,0,0,0,0,0
HETERO_25PCT,W2,M0_Proactive,0.85,59,5.72e+03,1e+04,0.502988,0.0403146,0.134471,1000000,1209710,0,0,0,0,0,0
HETERO_25PCT,W2,M1_AQB_PM,0.85,11,7.68e+03,1e+04,0.817701,0.0451565,0.0494163,1000000,1229237,0,0,0,0,0,0
HETERO_25PCT,W2,M1_AQB_PM,0.85,23,3.69e+03,8.16e+03,0.413334,0.0452607,0.0597641,1000000,1215912,0,0,0,0,0,0
HETERO_25PCT,W2,M1_AQB_PM,0.85,37,5.73e+03,9.08e+03,0.535432,0.045025,0.0538851,1000000,1222498,0,0,0,0,0,0
HETERO_25PCT,W2,M1_AQB_PM,0.85,47,2.43e+03,4.88e+03,0.268238,0.0454877,0.0568489,1000000,1204984,0,0,0,0,0,0
HETERO_25PCT,W2,M1_AQB_PM,0.85,59,1.32e+03,2.64e+03,0.25033,0.0466065,0.0705091,1000000,1211740,0,0,0,0,0,0
HETERO_25PCT,W2,M2_DQB_PM,0.85,11,8.05e+03,1e+04,0.47851,0.0138494,0.0327674,1000000,1211969,22595623,17141,17141,34061280,0,190720
HETERO_25PCT,W2,M2_DQB_PM,0.85,23,5.25e+03,7.15e+03,0.428458,0.0127459,0.0489429,1000000,1213484,22973485,16015,16016,33921744,0,0
HETERO_25PCT,W2,M2_DQB_PM,0.85,37,2.44e+03,6.38e+03,0.355796,0.0210026,0.0236533,1000000,1211802,19234521,26156,26156,34408080,0,22400
HETERO_25PCT,W2,M2_DQB_PM,0.85,47,5.87e+03,8.73e+03,0.539292,0.0136554,0.0327192,1000000,1224276,23774764,17200,17200,33766592,0,219433
HETERO_25PCT,W2,
