scenario,workload,rho,method,metric,n,mean,median,p25,p75,ci95_low,ci95_high,ci95_half_width
rescue_w2_robustness_10seed,W2,0.85,M1_RescueSched_NoTargetSafety,intra_move_rate,10,0.127312,0.129672,0.106454,0.139755,0.110877,0.143746,0.016435
rescue_w2_robustness_10seed,W2,0.85,M1_RescueSched_NoTargetSafety,beneficial_migration_ratio,10,0.999974,0.999976,0.999955,0.99998,0.99996,0.999987,0.000014
rescue_w2_robustness_10seed,W2,0.85,M1_RescueSched_NoTargetSafety,useless_migration_ratio,10,0,0,0,0,0,0,0
rescue_w2_robustness_10seed,W2,0.85,M1_RescueSched_NoTargetSafety,rescue_per_migration,10,0.999974,0.999976,0.999955,0.99998,0.99996,0.999987,0.000014
rescue_w2_robustness_10seed,W2,0.85,M1_RescueSched_NoTargetSafety,predicted_target_unsafe_accept_count,10,28176,28210,26231,29894,26376,29975,1800
rescue_w2_robustness_10seed,W2,0.85,M1_RescueSched_NoTargetSafety,harmful_actual_count,10,0,0,0,0,0,0,0
rescue_w3_robustness_10seed,W3,0.85,L1_WorkStealing,P99_us,10,222,221,216,224,216.81985,227.18015,5.18015
rescue_w3_robustness_10seed,W3,0.85,L1_WorkStealing,P999_us,10,368.8,366,360,374,360.987454,376.612546,7.812546
rescue_w3_robustness_10seed,W3,0.85,L1_WorkStealing,slo_violation_rate,10,0.20377,0.202958,0.199868,0.205331,0.200519,0.20702,0.003251
rescue_w3_robustness_10seed,W3,0.85,L1_WorkStealing,intra_move_rate,10,0.327798,0.328147,0.326112,0.329074,0.326033,0.329564,0.001765
rescue_w3_robustness_10seed,W3,0.85,L1_WorkStealing,beneficial_migration_ratio,10,0,0,0,0,0,0,0
rescue_w3_robustness_10seed,W3,0.85,L1_WorkStealing,useless_migration_ratio,10,0,0,0,0,0,0,0
rescue_w3_robustness_10seed,W3,0.85,L1_WorkStealing,rescue_per_migration,10,0,0,0,0,0,0,0
rescue_w3_robustness_10seed,W3,0.85,L1_WorkStealing,predicted_target_unsafe_accept_count,10,0,0,0,0,0,0,0
