scenario,workload,method,rho,seed,check_period_us,epsilon_us,budget_per_check,k_candidates,h_targets,migration_cost_us,service_estimate_mode,service_estimate_noise_cv,target_safety_enabled,rescuable_filter_enabled,P99_us,P999_us,slo_violation_rate,total_finished,total_generated,migration_rate,invalid_migration_ratio,intra_move_rate,intra_move_count,intra_moved_work_us,steal_attempt_count,steal_success_count,stolen_task_count,proactive_intra_attempt_count,proactive_intra_success_count,invalid_intra_move_ratio,rescue_attempt_count,rescue_candidate_count,locally_doomed_count,remote_feasible_count,target_safe_count,rescue_success_count,rescue_moved_work_us,target_unsafe_reject_count,remote_infeasible_reject_count,needless_migration_count,unsaved_migration_count,beneficial_migration_count,harmful_migration_count,predicted_target_unsafe_accept_count,target_harm_watch_count,harmful_actual_count,harmful_actual_ratio,target_induced_miss_actual,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration
rescue_w2_burst_skew,W2,M1_RescueSched_NoTargetSafety,0.7,11,1,2,1,16,4,0.5,oracle,0,0,1,2.65e+03,5.5e+03,0.108387,1000000,1200047,0,0,0.331487,397800,6.74541e+06,0,0,0,0,0,0,2053744,37275196,28724611,1730815,1707994,397800,6.74541e+06,0,113167629,0,0,397788,0,7335,100504,0,0,0,0.99997,0,0.99997
rescue_w2_burst_skew,W2,M1_RescueSched_NoTargetSafety,0.7,23,1,2,1,16,4,0.5,oracle,0,0,1,2.9e+03,5.54e+03,0.119414,1000000,1200052,0,0,0.328119,393760,6.73772e+06,0,0,0,0,0,0,2045974,40817107,32286504,1709903,1686260,393760,6.73772e+06,0,127436113,0,0,393749,0,7785,98491,0,0,0,0.999972,0,0.999972
rescue_w2_burst_skew,W2,M1_RescueSched_NoTargetSafety,0.7,37,1,2,1,16,4,0.5,oracle,0,0,1,1.75e+03,4.3e+03,0.095303,1000000,1200013,0,0,0.335915,403102,6.83236e+06,0,0,0,0,0,0,2056492,30887076,22206985,1762477,1738095,403102,6.83236e+06,0,87065463,0,0,403101,0,7588,100285,0,0,0,0.999998,0,0.999998
rescue_w2_burst_skew,W2,M1_RescueSched_NoTargetSafety,0.7,47,1,2,1,16,4,0.5,oracle,0,0,1,1.99e+03,3.52e+03,0.107009,1000000,1200013,0,0,0.332835,399406,6.78066e+06,0,0,0,0,0,0,2048057,36307231,27735445,1744945,1721675,399406,6.78066e+06,0,109196835,0,0,399404,0,7445,98397,0,0,0,0.999995,0,0.999995
rescue_w2_burst_skew,W2,M1_RescueSched_NoTargetSafety,0.7,59,1,2,1,16,4,0.5,oracle,0,0,1,2.26e+03,5.45e+03,0.118933,1000000,1200009,0,0,0.329133,394963,6.86568e+06,0,0,0,0,0,0,2042126,38627398,29949304,1719280,1691032,394963,6.86568e+06,0,118077936,0,0,394962,0,8764,106832,0,0,0,0.999997,0,0.999997
rescue_w2_burst_skew,W2,M1_RescueSched_NoRescuable,0.7,11,1,2,1,16,4,0.5,oracle,0,1,0,280,776,0.114417,1000000,1200047,0,0,0.436859,524251,1.62541e+07,0,0,0,0,0,0,2053747,8046704,6226485,5869496,5236409,524251,1.62541e+07,22051311,0,169329,45221,309669,0,0,136620,0,0,0,0.590688,0.409251,0.590688
rescue_w2_burst_skew,W2,M1_RescueSched_NoRescuable,0.7,23,1,2,1,16,4,0.5,oracle,0,1,0,290,774,0.120719,1000000,1200039,0,0,0.43726,524729,1.62202e+07,0,0,0,0,0,0,2046498,8607203,6803399,6201719,5488536,524729,1.62202e+07,24108400,0,167223,47789,309689,0,0,139712,0,0,0,0.590188,0.409758,0.590188
rescue_w2_burst_skew,W2,M1_RescueSched_NoRescuable,0.7,37,1,2,1,16,4,0.5,oracle,0,1,0,240,568,0.105981,1000000,1200011,0,0,0.437914,525502,1.63115e+07,0,0,0,0,0,0,2056500,6805405,4941708,5768979,4862055,525502,1.63115e+07,17348821,0,170568,42214,312713,0,0,135319,0,0,0,0.595075,0.404912,0.595075
rescue_w2_burst_skew,W2,M1_RescueSched_NoRescuable,0.7,47,1,2,1,16,4,0.5,oracle,0,1,0,268,652,0.113005,1000000,1200010,0,0,0.437562,525079,1.63051e+07,0,0,0,0,0,0,2048078,7678260,5845031,5981297,5120900,525079,1.63051e+07,20696512,0,169221,44606,311244,0,0,138133,0,0,0,0.592757,0.407228,0.592757
rescue_w2_burst_skew,W2,M1_RescueSched_NoRescuable,0.7,59,1,2,1,16,4,0.5,oracle,0,1,0,274,668,0.122328,1000000,1200007,0,0,0.437301,524764,1.62155e+07,0,0,0,0,0,0,2042124,8213868,6220830,6316993,5311198,524764,1.62155e+07,22155986,0,166270,49050,309443,0,0,146627,0,0,0,0.58968,0.410318,0.58968
rescue_w2_burst_skew,W2,L0_RandomCore,0.85,11,1,2,1,16,4,0.5,oracle,0,1,1,1e+04,1e+04,0.944406,1000000,1202615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_burst_skew,W2,L0_RandomCore,0.85,23,1,2,1,16,4,0.5,oracle,0,1,1,1e+04,1e+04,0.932954,1000000,1202760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_burst_skew,W2,L0_RandomCore,0.85,37,1,2,1,16,4,0.5,oracle,0,1,1,1e+04,1e+04,0.935746,1000000,1201171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_burst_skew,W2,L0_RandomCore,0.85,47,1,2,1,16,4,0.5,oracle,0,1,1,1e+04,1e+04,0.937178,1000000,1201909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_burst_skew,W2,L0_RandomCore,0.85,59,1,2,1,16,4,0.5,oracle,0,1,1,1e+04,1e+04,0.933241,1000000,1201190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_burst_skew,W2,L1_WorkStealing,0.85,11,1,2,1,16,4,0.5,oracle,0,1,1,3.26e+03,5.8e+03,0.654656,1000000,1200166,0,0,0.189531,227469,7.63252e+06,257733,227469,227469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_burst_skew,W2,L1_WorkStealing,0.85,23,1,2,1,16,4,0.5,oracle,0,1,1,2.3e+03,3.81e+03,0.626648,1000000,1200291,0,0,0.203458,244209,8.12909e+06,279526,244209,244209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_burst_skew,W2,L1_WorkStealing,0.85,37,1,2,1,16,4,0.5,oracle,0,1,1,1.98e+03,3.17e+03,0.622935,1000000,1200015,0,0,0.204797,245760,8.18029e+06,281227,245760,245760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_burst_skew,W2,L1_WorkStealing,0.85,47,1,2,1,16,4,0.5,oracle,0,1,1,2.39e+03,4.27e+03,0.617626,1000000,1200196,0,0,0.209393,251313,8.43945e+06,286146,251313,251313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_burst_skew,W2,L1_WorkStealing,0.85,59,1,2,1,16,4,0.5,oracle,0,1,1,3.09e+03,5.15e+03,0.621678,1000000,1200110,0,0,0.203941,244752,8.15575e+06,281155,244752,244752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_burst_skew,W2,M0_IntraHostProactive,0.85,11,1,2,1,16,4,0.5,oracle,0,1,1,2.08e+03,4.4e+03,0.666438,1000000,1200142,0,0,0.574854,689907,1.68573e+07,0,0,0,1687714,689907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_burst_skew,W2,M0_IntraHostProactive,0.85,23,1,2,1,16,4,0.5,oracle,0,1,1,1.37e+03,3.71e+03,0.63511,1000000,1200301,0,0,0.587538,705222,1.71917e+07,0,0,0,1696442,705222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_burst_skew,W2,M0_IntraHostProactive,0.85,37,1,2,1,16,4,0.5,oracle,0,1,1,1.19e+03,1.84e+03,0.630752,1000000,1200011,0,0,0.597021,716432,1.73837e+07,0,0,0,1692316,716432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_burst_skew,W2,M0_IntraHostProactive,0.85,47,1,2,1,16,4,0.5,oracle,0,1,1,1.39e+03,2.88e+03,0.622137,1000000,1200180,0,0,0.589752,707809,1.71157e+07,0,0,0,1691227,707809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_burst_skew,W2,M0_IntraHostProactive,0.85,59,1,2,1,16,4,0.5,oracle,0,1,1,1.84e+03,4e+03,0.626122,1000000,1200110,0,0,0.567641,681232,1.65063e+07,0,0,0,1696345,681232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_burst_skew,W2,M1_RescueSched,0.85,11,1,2,1,16,4,0.5,oracle,0,1,1,1e+04,1e+04,0.75122,1000000,1202132,0,0,0.101211,121669,2.98425e+06,0,0,0,0,0,0,1687338,274726861,270530947,1747767,363629,121669,2.98425e+06,1384138,1080376021,0,0,121667,0,0,91190,0,0,0,0.999984,0,0.999984
rescue_w2_burst_skew,W2,M1_RescueSched,0.85,23,1,2,1,16,4,0.5,oracle,0,1,1,1e+04,1e+04,0.658639,1000000,1202298,0,0,0.143542,172580,4.12852e+06,0,0,0,0,0,0,1698538,227018117,221238459,2336433,592458,172580,4.12852e+06,1743975,882617403,0,0,172580,0,0,130781,0,0,0,1,0,1
rescue_w2_burst_skew,W2,M1_RescueSched,0.85,37,1,2,1,16,4,0.5,oracle,0,1,1,1e+04,1e+04,0.687816,1000000,1200696,0,0,0.129427,155403,3.69316e+06,0,0,0,0,0,0,1692091,242955854,237751171,2064692,522176,155403,3.69316e+06,1542516,948939992,0,0,155400,0,0,116022,0,0,0,0.999981,0,0.999981
rescue_w2_burst_skew,W2,M1_RescueSched,0.85,47,1,2,1,16,4,0.5,oracle,0,1,1,1e+04,1e+04,0.694345,1000000,1201478,0,0,0.126925,152498,3.68346e+06,0,0,0,0,0,0,1690950,244970178,239776737,2082161,490302,152498,3.68346e+06,1591859,957024787,0,0,152494,0,0,116964,0,0,0,0.999974,0,0.999974
rescue_w2_burst_skew,W2,M1_RescueSched,0.85,59,1,2,1,16,4,0.5,oracle,0,1,1,1e+04,1e+04,0.679807,1000000,1200785,0,0,0.132845,159518,3.75705e+06,0,0,0,0,0,0,1695884,240606190,235288214,2079532,529387,159518,3.75705e+06,1550145,939073324,0,0,159513,0,0,118576,0,0,0,0.999969,0,0.999969
rescue_w2_burst_skew,W2,M1_RescueSched_NoTargetSafety,0.85,11,1,2,1,16,4,0.5,oracle,0,0,1,1e+04,1e+04,0.745342,1000000,1202105,0,0,0.110545,132887,3.72785e+06,0,0,0,0,0,0,1687560,268873462,263831240,363454,316309,132887,3.72785e+06,0,1054961506,0,0,132886,0,26564,89597,0,0,0,0.999992,0,0.999992
rescue_w2_burst_skew,W2,M1_RescueSched_NoTargetSafety,0.85,23,1,2,1,16,4,0.5,oracle,0,0,1,1e+04,1e+04,0.656448,1000000,1202380,0,0,0.152316,183142,4.91202e+06,0,0,0,0,0,0,1698693,223728710,217071197,568400,508874,183142,4.91202e+06,0,867716388,0,0,183142,0,31675,127930,0,0,0,1,0,1
rescue_w2_burst_skew,W2,M1_RescueSched_NoTargetSafety,0.85,37,1,2,1,16,4,0.5,oracle,0,0,1,1e+04,1e+04,0.681988,1000000,1200672,0,0,0.139755,167800,4.50603e+06,0,0,0,0,0,0,1691911,237123165,231016931,508100,452711,167800,4.50603e+06,0,923559624,0,0,167796,0,29894,115143,0,0,0,0.999976,0,0.999976
rescue_w2_burst_skew,W2,M1_RescueSched_NoTargetSafety,0.85,47,1,2,1,16,4,0.5,oracle,0,0,1,1e+04,1e+04,0.69222,1000000,1201440,0,0,0.134973,162162,4.41403e+06,0,0,0,0,0,0,1690843,242181389,236203916,472248,417458,162162,4.41403e+06,0,944343416,0,0,162153,0,29924,111906,0,0,0,0.999944,0,0.999944
rescue_w2_burst_skew,W2,M1_RescueSched_NoTargetSafety,0.85,59,1,2,1,16,4,0.5,oracle,0,0,1,1e+04,1e+04,0.67902,1000000,1200776,0,0,0.140215,168367,4.42189e+06,0,0,0,0,0,0,1695957,238256576,232197412,507853,455528,168367,4.42189e+06,0,928281795,0,0,168358,0,28567,114872,0,0,0,0.999947,0,0.999947
rescue_w2_burst_skew,W2,M1_RescueSched_NoRescuable,0.85,11,1,2,1,16,4,0.5,oracle,0,1,0,3.07e+03,5.61e+03,0.575078,1000000,1200111,0,0,0.323573,388324,9.2418e+06,0,0,0,0,0,0,1687733,75446498,72194589,10337751,12756176,388324,9.2418e+06,279964780,0,71332,142831,174149,0,0,258431,0,0,0,0.448463,0.551506,0.448463
rescue_w2_burst_skew,W2,M1_RescueSched_NoRescuable,0.85,23,1,2,1,16,4,0.5,oracle,0,1,0,2.18e+03,3.69e+03,0.542989,1000000,1200216,0,0,0.33731,404845,9.86345e+06,0,0,0,0,0,0,1696451,68727249,65325417,10735422,12378361,404845,9.86345e+06,253033607,0,77689,140178,186972,0,0,263578,0,0,0,0.461836,0.538149,0.461836
rescue_w2_burst_skew,W2,M1_RescueSched_NoRescuable,0.85,37,1,2,1,16,4,0.5,oracle,0,1,0,1.77e+03,3.04e+03,0.539359,1000000,1200015,0,0,0.340252,408307,9.91663e+06,0,0,0,0,0,0,1692310,68234546,64858715,10563735,12561256,408307,9.91663e+06,250903256,0,78436,141279,188583,0,0,266146,0,0,0,0.461866,0.538112,0.461866
rescue_w2_burst_skew,W2,M1_RescueSched_NoRescuable,0.85,47,1,2,1,16,4,0.5,oracle,0,1,0,2.16e+03,4.08e+03,0.530425,1000000,1200180,0,0,0.349151,419044,1.02235e+07,0,0,0,0,0,0,1691498,65050495,61662374,10632893,12789985,419044,1.02235e+07,237892131,0,81445,144394,193201,0,0,273718,0,0,0,0.461052,0.538939,0.461052
rescue_w2_burst_skew,W2,M1_RescueSched_NoRescuable,0.85,59,1,2,1,16,4,0.5,oracle,0,1,0,2.97e+03,5.08e+03,0.538678,1000000,1200098,0,0,0.335523,402661,9.93174e+06,0,0,0,0,0,0,1696346,68317132,64941784,10308422,11746797,402661,9.93174e+06,252089543,0,79773,134451,188430,0,0,261042,0,0,0,0.467962,0.532021,0.467962
rescue_w2_burst_skew,W2,L0_RandomCore,0.92,11,1,2,1,16,4,0.5,oracle,0,1,1,1e+04,1e+04,1,1000000,1254063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_burst_skew,W2,L0_RandomCore,0.92,23,1,2,1,16,4,0.5,oracle,0,1,1,1e+04,1e+04,0.999997,1000000,1259679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_burst_skew,W2,L0_RandomCore,0.92,37,1,2,1,16,4,0.5,oracle,0,1,1,1e+04,1e+04,1,1000000,1255298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_burst_skew,W2,L0_RandomCore,0.92,47,1,2,1,16,4,0.5,oracle,0,1,1,1e+04,1e+04,1,1000000,1265931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_burst_skew,W2,L0_RandomCore,0.92,59,1,2,1,16,4,0.5,oracle,0,1,1,1e+04,1e+04,0.999822,1000000,1256590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_burst_skew,W2,L1_WorkStealing,0.92,11,1,2,1,16,4,0.5,oracle,0,1,1,1e+04,1e+04,1,1000000,1253059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_burst_skew,W2,L1_WorkStealing,0.92,23,1,2,1,16,4,0.5,oracle,0,1,1,1e+04,1e+04,1,1000000,1258250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_burst_skew,W2,L1_WorkStealing,0.92,37,1,2,1,16,4,0.5,oracle,0,1,1,1e+04,1e+04,1,1000000,1254228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_burst_skew,W2,L1_WorkStealing,0.92,47,1,2,1,16,4,0.5,oracle,0,1,1,1e+04,1e+04,1,1000000,1265224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_burst_skew,W2,L1_WorkStealing,0.92,59,1,2,1,16,4,0.5,oracle,0,1,1,1e+04,1e+04,0.999894,1000000,1255538,0,0,6.37177e-05,80,1898,80,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_burst_skew,W2,M0_IntraHostProactive,0.92,11,1,2,1,16,4,0.5,oracle,0,1,1,1e+04,1e+04,1,1000000,1253030,0,0,0,0,0,0,0,0,1633573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_burst_skew,W2,M0_IntraHostProactive,0.92,23,1,2,1,16,4,0.5,oracle,0,1,1,1e+04,1e+04,1,1000000,1258296,0,0,1.58945e-05,20,807,0,0,0,1633513,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_burst_skew,W2,M0_IntraHostProactive,0.92,37,1,2,1,16,4,0.5,oracle,0,1,1,1e+04,1e+04,1,1000000,1254179,0,0,0,0,0,0,0,0,1630237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_burst_skew,W2,M0_IntraHostProactive,0.92,47,1,2,1,16,4,0.5,oracle,0,1,1,1e+04,1e+04,1,1000000,1265239,0,0,0,0,0,0,0,0,1633525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescue_w2_burst_skew,W2,M0_IntraHostProactive,0.92,59,1,2,1,16,4,0.5,oracle,0,1,1,1e+04,1e+04,1,1000000,1255552,0,0,0.000118673,149,3432.9,0,0,0,1632405,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
