source,scenario,workload,method,rho,check_period_us,epsilon_us,budget_per_check,migration_cost_us,service_estimate_mode,service_estimate_noise_cv,P99_us,P999_us,slo_violation_rate,intra_move_rate,intra_move_count,rescue_success_count,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration,predicted_target_unsafe_accept_count,harmful_actual_count,harmful_actual_ratio,target_induced_miss_actual,needless_migration_count,unsaved_migration_count
overload,rescue_w1_overload_boundary,W1,M1_RescueSched_NoTargetSafety,0.95,1,2,1,,,,10000,10000,1,0,0,0,0,0,0,0,0,0,0,0,0
overload,rescue_w1_sanity,W1,L1_WorkStealing,0.85,1,2,1,,,,240,366,0.332489,0.331218,397482,0,0,0,0,0,0,0,0,0,0
overload,rescue_w1_sanity,W1,M0_IntraHostProactive,0.85,1,2,1,,,,204,284,0.256767,0.538881,646696,0,0,0,0,0,0,0,0,0,0
overload,rescue_w1_sanity,W1,M1_RescueSched,0.85,1,2,1,,,,300,584,0.207337,0.346428,415748,415748,0.999986,0,0.999986,0,0,0,0,0,0
overload,rescue_w1_sanity,W1,M1_RescueSched_NoTargetSafety,0.85,1,2,1,,,,276,1340,0.205511,0.353868,424675,424675,0.999983,0,0.999983,31907,0,0,0,0,0
w3_only,rescue_w3_heavytail_focus,W3,L0_RandomCore,0.85,1,2,1,,,,2050,3260,0.761112,0,0,0,0,0,0,0,0,0,0,0,0
w3_only,rescue_w3_heavytail_focus,W3,L1_WorkStealing,0.85,1,2,1,,,,220,364,0.20307,0.328258,393913,0,0,0,0,0,0,0,0,0,0
w3_only,rescue_w3_heavytail_focus,W3,M0_IntraHostProactive,0.85,1,2,1,,,,194,346,0.153639,0.399815,479784,0,0,0,0,0,0,0,0,0,0
w3_only,rescue_w3_heavytail_focus,W3,M1_RescueSched,0.85,1,2,1,,,,258,558,0.094486,0.285511,342642,342642,0.999982,0,0.999982,0,0,0,0,0,0
w3_only,rescue_w3_heavytail_focus,W3,M1_RescueSched_NoTargetSafety,0.85,1,2,1,,,,248,532,0.095297,0.286216,343465,343465,0.99998,0,0.99998,8643,0,0,0,0,0
