profile,dimension,value,workload,rho,baseline,paired_seeds,mean_slo_reduction,ci95_low,ci95_high,relative_slo_reduction,p99_rescue_over_baseline,p999_rescue_over_baseline,rescue_work_rate_median,baseline_work_rate_median,relative_work_reduction,descriptive_only
candidates-8,k-candidates,8,W2,0.85,L1_WorkStealingPolling,1,0.015,0.015,0.015,0.75,1.8846153846153846,1.8468468468468469,0.23169073916737468,0.7334409515717927,0.6841044413038946,1
candidates-8,k-candidates,8,W2,0.85,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.23169073916737468,0.23169073916737468,0.0,1
candidates-8,k-candidates,8,W3,0.7,L1_WorkStealingPolling,1,-0.02,-0.02,-0.02,-4.0,1.1878453038674033,1.006993006993007,0.1302708183776023,0.5884816941852118,0.7786323352709041,1
candidates-8,k-candidates,8,W3,0.7,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.1302708183776023,0.1302708183776023,0.0,1
candidates-8,k-candidates,8,W3,0.85,L1_WorkStealingPolling,1,-0.02,-0.02,-0.02,-4.0,1.3812154696132597,1.0384615384615385,0.15853068916008614,0.7108991385498923,0.7769997450222538,1
candidates-8,k-candidates,8,W3,0.85,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.15853068916008614,0.15853068916008614,0.0,1
candidates-8,k-candidates,8,W3,0.9,L1_WorkStealingPolling,1,-0.030000000000000002,-0.030000000000000002,-0.030000000000000002,-6.0,1.430939226519337,1.048951048951049,0.1622056712132089,0.693856783919598,0.7662260066163671,1
candidates-8,k-candidates,8,W3,0.9,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.1622056712132089,0.16210821966977748,-0.0006011511546417658,1
check-2,check-period-us,2,W2,0.85,L1_WorkStealingPolling,1,0.02,0.02,0.02,1.0,1.8461538461538463,1.7927927927927927,0.23410365335598982,0.7334409515717927,0.6808145865671987,1
check-2,check-period-us,2,W2,0.85,M0_AltoThreshold,1,0.0,0.0,0.0,,1.0,1.0,0.23410365335598982,0.23169073916737468,-0.01041437477081053,1
check-2,check-period-us,2,W3,0.7,L1_WorkStealingPolling,1,-0.015,-0.015,-0.015,-3.0,1.1878453038674033,1.006993006993007,0.13040721464465183,0.5884816941852118,0.7784005587035151,1
check-2,check-period-us,2,W3,0.7,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.13040721464465183,0.13040721464465183,0.0,1
check-2,check-period-us,2,W3,0.85,L1_WorkStealingPolling,1,-0.02,-0.02,-0.02,-4.0,1.3812154696132597,1.0384615384615385,0.15493646805455852,0.7108991385498923,0.7820556255411966,1
check-2,check-period-us,2,W3,0.85,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.15493646805455852,0.15493646805455852,0.0,1
check-2,check-period-us,2,W3,0.9,L1_WorkStealingPolling,1,-0.024999999999999998,-0.024999999999999998,-0.024999999999999998,-4.999999999999999,1.430939226519337,1.048951048951049,0.16648438621679826,0.693856783919598,0.7600594386692774,1
check-2,check-period-us,2,W3,0.9,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.16648438621679826,0.154178391959799,-0.0798165949234182,1
check-5,check-period-us,5,W2,0.85,L1_WorkStealingPolling,1,-0.039999999999999994,-0.039999999999999994,-0.039999999999999994,-1.9999999999999996,1.7596153846153846,1.7837837837837838,0.18010195412064572,0.7334409515717927,0.7544424622940944,1
check-5,check-period-us,5,W2,0.85,M0_AltoThreshold,1,-0.0049999999999999975,-0.0049999999999999975,-0.0049999999999999975,-0.09090909090909087,0.9384615384615385,1.0,0.18010195412064572,0.21359388275276125,0.15680190930787585,1
check-5,check-period-us,5,W3,0.7,L1_WorkStealingPolling,1,-0.02,-0.02,-0.02,-4.0,1.1878453038674033,1.006993006993007,0.12568144292893038,0.5884816941852118,0.7864310068252099,1
check-5,check-period-us,5,W3,0.7,M0_AltoThreshold,1,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.28571428571428575,1.0,1.0,0.12568144292893038,0.11960983488872937,-0.05076177929556813,1
check-5,check-period-us,5,W3,0.85,L1_WorkStealingPolling,1,-0.05,-0.05,-0.05,-10.0,1.3812154696132597,1.0384615384615385,0.13713047379755922,0.7108991385498923,0.8071027711789313,1
check-5,check-period-us,5,W3,0.85,M0_AltoThreshold,1,0.0049999999999999975,0.0049999999999999975,0.0049999999999999975,0.0833333333333333,1.0,1.0,0.13713047379755922,0.13737670495333812,0.001792379252818277,1
check-5,check-period-us,5,W3,0.9,L1_WorkStealingPolling,1,-0.055,-0.055,-0.055,-11.0,1.430939226519337,1.048951048951049,0.144132447954056,0.693856783919598,0.7922734903017715,1
check-5,check-period-us,5,W3,0.9,M0_AltoThreshold,1,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.14285714285714296,1.0,1.0,0.144132447954056,0.1477997128499641,0.024812395269203646,1
control-accounting-unit,control-cost,normalized-1us-per-operation,W2,0.85,L1_WorkStealingPolling,1,0.015,0.015,0.015,0.75,1.8846153846153846,1.8468468468468469,0.23169073916737468,0.7334409515717927,0.6841044413038946,1
control-accounting-unit,control-cost,normalized-1us-per-operation,W2,0.85,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.23169073916737468,0.23169073916737468,0.0,1
control-accounting-unit,control-cost,normalized-1us-per-operation,W3,0.7,L1_WorkStealingPolling,1,-0.02,-0.02,-0.02,-4.0,1.1878453038674033,1.006993006993007,0.1302708183776023,0.5884816941852118,0.7786323352709041,1
control-accounting-unit,control-cost,normalized-1us-per-operation,W3,0.7,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.1302708183776023,0.1302708183776023,0.0,1
control-accounting-unit,control-cost,normalized-1us-per-operation,W3,0.85,L1_WorkStealingPolling,1,-0.02,-0.02,-0.02,-4.0,1.3812154696132597,1.0384615384615385,0.15853068916008614,0.7108991385498923,0.7769997450222538,1
control-accounting-unit,control-cost,normalized-1us-per-operation,W3,0.85,M0_AltoThreshold,1,0.0,0.0,0.0,0.0,1.0,1.0,0.15853068916008614,0.15853068916008614,0.0,1
control-accounting-unit,control-cost,normalized-1us-per-operation,W3,0.9,L1_WorkStealingPolling,1,-0.030000000000000002,-0.030000000000000002,-0.030000000000000002,-6.0,1.430939226519337,1.048951048951049,0.1622056712132089,0.693856783919598,0.7662260066163671,1
