profile,dimension,value,workload,rho,method,seeds,slo_violation_median,slo_goodput_per_us_median,P99_us_median,P999_us_median,migrated_work_rate_median,handoffs_per_request_median,rescue_moves_per_request_median,estimator_mae_us_median,estimator_rmse_us_median,control_operations_per_request_median,configured_control_cost_per_request_us_median,rescue_migrated_fraction_median,rescue_migrated_miss_rate_median,rescue_nonmigrated_miss_rate_median
candidates-32,k-candidates,32,W2,0.85,M1_RescueSched,1,0.005,0.31254908119993713,196.0,205.0,0.23169073916737468,0.425,0.425,0.0,0.0,22.86,0.0,0.425,0.0117647,0.0
candidates-32,k-candidates,32,W3,0.7,L0_RandomCore,1,0.26,0.2008135663132529,313.0,324.0,0.0,0.0,0.0,13.8404,28.861,1.035,0.0,0.0,0.0,0.26
candidates-32,k-candidates,32,W3,0.7,L1_WorkStealingPolling,1,0.005,0.298135827087213,181.0,286.0,0.5884816941852118,0.67,0.0,13.8823,28.7937,4.09,0.0,0.0,0.0,0.005
candidates-32,k-candidates,32,W3,0.7,M0_AltoThreshold,1,0.025,0.273093944316845,215.0,288.0,0.1302708183776023,0.24,0.0,13.6415,28.7849,16.19,0.0,0.0,0.0,0.025
candidates-32,k-candidates,32,W3,0.7,M1_RescueSched,1,0.025,0.273093944316845,215.0,288.0,0.1302708183776023,0.24,0.24,13.6415,28.7849,31.295,0.0,0.24,0.0208333,0.0263158
candidates-32,k-candidates,32,W3,0.85,L0_RandomCore,1,0.315,0.21000545707611087,327.0,342.0,0.0,0.0,0.0,13.7859,28.7046,1.045,0.0,0.0,0.0,0.315
candidates-32,k-candidates,32,W3,0.85,L1_WorkStealingPolling,1,0.005,0.3414304391241537,181.0,286.0,0.7108991385498923,0.745,0.0,13.7783,28.7364,3.735,0.0,0.0,0.0,0.005
candidates-32,k-candidates,32,W3,0.85,M0_AltoThreshold,1,0.025,0.32723501515349834,250.0,297.0,0.15853068916008614,0.29,0.0,13.6922,28.6859,19.2,0.0,0.0,0.0,0.025
candidates-32,k-candidates,32,W3,0.85,M1_RescueSched,1,0.025,0.32723501515349834,250.0,297.0,0.15853068916008614,0.29,0.29,13.6922,28.6859,36.575,0.0,0.29,0.0,0.0352113
candidates-32,k-candidates,32,W3,0.9,L0_RandomCore,1,0.35,0.2053582711992923,331.0,347.0,0.0,0.0,0.0,13.7521,28.6499,1.045,0.0,0.0,0.0,0.35
candidates-32,k-candidates,32,W3,0.9,L1_WorkStealingPolling,1,0.005,0.3538639633119533,181.0,286.0,0.693856783919598,0.76,0.0,13.474,28.4811,3.65,0.0,0.0,0.0,0.005
candidates-32,k-candidates,32,W3,0.9,M0_AltoThreshold,1,0.035,0.3271729880556431,259.0,300.0,0.16210821966977748,0.295,0.0,13.632,28.5841,20.835,0.0,0.0,0.0,0.035
candidates-32,k-candidates,32,W3,0.9,M1_RescueSched,1,0.035,0.3271729880556431,259.0,300.0,0.1622056712132089,0.295,0.295,13.6204,28.5823,40.65,0.0,0.295,0.0,0.0496454
candidates-8,k-candidates,8,W2,0.85,L0_RandomCore,1,0.445,0.13970857546339824,274.0,356.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.445
candidates-8,k-candidates,8,W2,0.85,L1_WorkStealingPolling,1,0.02,0.341106856943961,104.0,111.0,0.7334409515717927,0.765,0.0,0.0,0.0,3.68,0.0,0.0,0.0,0.02
candidates-8,k-candidates,8,W2,0.85,M0_AltoThreshold,1,0.005,0.31254908119993713,196.0,205.0,0.23169073916737468,0.425,0.0,0.0,0.0,13.29,0.0,0.0,0.0,0.005
candidates-8,k-candidates,8,W2,0.85,M1_RescueSched,1,0.005,0.31254908119993713,196.0,205.0,0.23169073916737468,0.425,0.425,0.0,0.0,22.86,0.0,0.425,0.0117647,0.0
candidates-8,k-candidates,8,W3,0.7,L0_RandomCore,1,0.26,0.2008135663132529,313.0,324.0,0.0,0.0,0.0,13.8404,28.861,1.035,0.0,0.0,0.0,0.26
candidates-8,k-candidates,8,W3,0.7,L1_WorkStealingPolling,1,0.005,0.298135827087213,181.0,286.0,0.5884816941852118,0.67,0.0,13.8823,28.7937,4.09,0.0,0.0,0.0,0.005
candidates-8,k-candidates,8,W3,0.7,M0_AltoThreshold,1,0.025,0.273093944316845,215.0,288.0,0.1302708183776023,0.24,0.0,13.6415,28.7849,16.19,0.0,0.0,0.0,0.025
candidates-8,k-candidates,8,W3,0.7,M1_RescueSched,1,0.025,0.273093944316845,215.0,288.0,0.1302708183776023,0.24,0.24,13.6415,28.7849,31.295,0.0,0.24,0.0208333,0.0263158
candidates-8,k-candidates,8,W3,0.85,L0_RandomCore,1,0.315,0.21000545707611087,327.0,342.0,0.0,0.0,0.0,13.7859,28.7046,1.045,0.0,0.0,0.0,0.315
candidates-8,k-candidates,8,W3,0.85,L1_WorkStealingPolling,1,0.005,0.3414304391241537,181.0,286.0,0.7108991385498923,0.745,0.0,13.7783,28.7364,3.735,0.0,0.0,0.0,0.005
candidates-8,k-candidates,8,W3,0.85,M0_AltoThreshold,1,0.025,0.32723501515349834,250.0,297.0,0.15853068916008614,0.29,0.0,13.6922,28.6859,19.2,0.0,0.0,0.0,0.025
candidates-8,k-candidates,8,W3,0.85,M1_RescueSched,1,0.025,0.32723501515349834,250.0,297.0,0.15853068916008614,0.29,0.29,13.6922,28.6859,36.575,0.0,0.29,0.0,0.0352113
candidates-8,k-candidates,8,W3,0.9,L0_RandomCore,1,0.35,0.2053582711992923,331.0,347.0,0.0,0.0,0.0,13.7521,28.6499,1.045,0.0,0.0,0.0,0.35
candidates-8,k-candidates,8,W3,0.9,L1_WorkStealingPolling,1,0.005,0.3538639633119533,181.0,286.0,0.693856783919598,0.76,0.0,13.474,28.4811,3.65,0.0,0.0,0.0,0.005
candidates-8,k-candidates,8,W3,0.9,M0_AltoThreshold,1,0.035,0.3271729880556431,259.0,300.0,0.16210821966977748,0.295,0.0,13.632,28.5841,20.835,0.0,0.0,0.0,0.035
candidates-8,k-candidates,8,W3,0.9,M1_RescueSched,1,0.035,0.3271729880556431,259.0,300.0,0.1622056712132089,0.295,0.295,13.6204,28.5823,40.65,0.0,0.295,0.0,0.0496454
check-2,check-period-us,2,W2,0.85,L0_RandomCore,1,0.445,0.13970857546339824,274.0,356.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.445
check-2,check-period-us,2,W2,0.85,L1_WorkStealingPolling,1,0.02,0.341106856943961,104.0,111.0,0.7334409515717927,0.765,0.0,0.0,0.0,3.68,0.0,0.0,0.0,0.02
check-2,check-period-us,2,W2,0.85,M0_AltoThreshold,1,0.0,0.30179568432171416,192.0,199.0,0.23169073916737468,0.425,0.0,0.0,0.0,8.73,0.0,0.0,0.0,0.0
check-2,check-period-us,2,W2,0.85,M1_RescueSched,1,0.0,0.30179568432171416,192.0,199.0,0.23410365335598982,0.435,0.435,0.0,0.0,13.895,0.0,0.435,0.0,0.0
check-2,check-period-us,2,W3,0.7,L0_RandomCore,1,0.26,0.2008135663132529,313.0,324.0,0.0,0.0,0.0,13.8404,28.861,1.035,0.0,0.0,0.0,0.26
check-2,check-period-us,2,W3,0.7,L1_WorkStealingPolling,1,0.005,0.298135827087213,181.0,286.0,0.5884816941852118,0.67,0.0,13.8823,28.7937,4.09,0.0,0.0,0.0,0.005
check-2,check-period-us,2,W3,0.7,M0_AltoThreshold,1,0.02,0.2744944260825724,215.0,288.0,0.13040721464465183,0.24,0.0,13.6307,28.7735,9.465,0.0,0.0,0.0,0.02
check-2,check-period-us,2,W3,0.7,M1_RescueSched,1,0.02,0.2744944260825724,215.0,288.0,0.13040721464465183,0.24,0.24,13.6307,28.7735,17.11,0.0,0.24,0.0208333,0.0197368
check-2,check-period-us,2,W3,0.85,L0_RandomCore,1,0.315,0.21000545707611087,327.0,342.0,0.0,0.0,0.0,13.7859,28.7046,1.045,0.0,0.0,0.0,0.315
check-2,check-period-us,2,W3,0.85,L1_WorkStealingPolling,1,0.005,0.3414304391241537,181.0,286.0,0.7108991385498923,0.745,0.0,13.7783,28.7364,3.735,0.0,0.0,0.0,0.005
check-2,check-period-us,2,W3,0.85,M0_AltoThreshold,1,0.025,0.3198089674434471,250.0,297.0,0.15493646805455852,0.28,0.0,13.695,28.6855,11.1,0.0,0.0,0.0,0.025
check-2,check-period-us,2,W3,0.85,M1_RescueSched,1,0.025,0.3198089674434471,250.0,297.0,0.15493646805455852,0.28,0.28,13.695,28.6855,20.04,0.0,0.28,0.0,0.0347222
check-2,check-period-us,2,W3,0.9,L0_RandomCore,1,0.35,0.2053582711992923,331.0,347.0,0.0,0.0,0.0,13.7521,28.6499,1.045,0.0,0.0,0.0,0.35
check-2,check-period-us,2,W3,0.9,L1_WorkStealingPolling,1,0.005,0.3538639633119533,181.0,286.0,0.693856783919598,0.76,0.0,13.474,28.4811,3.65,0.0,0.0,0.0,0.005
check-2,check-period-us,2,W3,0.9,M0_AltoThreshold,1,0.03,0.3193631175108115,259.0,300.0,0.154178391959799,0.295,0.0,13.6522,28.599,12.6,0.0,0.0,0.0,0.03
check-2,check-period-us,2,W3,0.9,M1_RescueSched,1,0.03,0.3429282537527664,259.0,300.0,0.16648438621679826,0.305,0.305,13.6365,28.595,22.295,0.0,0.305,0.0,0.0431655
check-5,check-period-us,5,W2,0.85,L0_RandomCore,1,0.445,0.13970857546339824,274.0,356.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.445
check-5,check-period-us,5,W2,0.85,L1_WorkStealingPolling,1,0.02,0.341106856943961,104.0,111.0,0.7334409515717927,0.765,0.0,0.0,0.0,3.68,0.0,0.0,0.0,0.02
check-5,check-period-us,5,W2,0.85,M0_AltoThreshold,1,0.055,0.30892448512585813,195.0,198.0,0.21359388275276125,0.35,0.0,0.0,0.0,8.6,0.0,0.0,0.0,0.055
check-5,check-period-us,5,W2,0.85,M1_RescueSched,1,0.06,0.310011559473574,183.0,198.0,0.18010195412064572,0.345,0.345,0.0,0.0,13.225,0.0,0.345,0.0,0.0916031
check-5,check-period-us,5,W3,0.7,L0_RandomCore,1,0.26,0.2008135663132529,313.0,324.0,0.0,0.0,0.0,13.8404,28.861,1.035,0.0,0.0,0.0,0.26
check-5,check-period-us,5,W3,0.7,L1_WorkStealingPolling,1,0.005,0.298135827087213,181.0,286.0,0.5884816941852118,0.67,0.0,13.8823,28.7937,4.09,0.0,0.0,0.0,0.005
check-5,check-period-us,5,W3,0.7,M0_AltoThreshold,1,0.035,0.2702929807853902,215.0,288.0,0.11960983488872937,0.215,0.0,13.6543,28.7785,5.76,0.0,0.0,0.0,0.035
check-5,check-period-us,5,W3,0.7,M1_RescueSched,1,0.025,0.273093944316845,215.0,288.0,0.12568144292893038,0.23,0.23,13.6579,28.7767,9.4,0.0,0.23,0.0,0.0324675
check-5,check-period-us,5,W3,0.85,L0_RandomCore,1,0.315,0.21000545707611087,327.0,342.0,0.0,0.0,0.0,13.7859,28.7046,1.045,0.0,0.0,0.0,0.315
check-5,check-period-us,5,W3,0.85,L1_WorkStealingPolling,1,0.005,0.3414304391241537,181.0,286.0,0.7108991385498923,0.745,0.0,13.7783,28.7364,3.735,0.0,0.0,0.0,0.005
check-5,check-period-us,5,W3,0.85,M0_AltoThreshold,1,0.06,0.2986962227638298,250.0,297.0,0.13737670495333812,0.255,0.0,13.6603,28.6523,7.36,0.0,0.0,0.0,0.06
check-5,check-period-us,5,W3,0.85,M1_RescueSched,1,0.055,0.30028503245938204,250.0,297.0,0.13713047379755922,0.255,0.255,13.6543,28.6593,13.685,0.0,0.255,0.0196078,0.0671141
check-5,check-period-us,5,W3,0.9,L0_RandomCore,1,0.35,0.2053582711992923,331.0,347.0,0.0,0.0,0.0,13.7521,28.6499,1.045,0.0,0.0,0.0,0.35
check-5,check-period-us,5,W3,0.9,L1_WorkStealingPolling,1,0.005,0.3538639633119533,181.0,286.0,0.693856783919598,0.76,0.0,13.474,28.4811,3.65,0.0,0.0,0.0,0.005
check-5,check-period-us,5,W3,0.9,M0_AltoThreshold,1,0.07,0.32936909880364645,259.0,300.0,0.1477997128499641,0.26,0.0,13.7281,28.677,7.54,0.0,0.0,0.0,0.07
check-5,check-period-us,5,W3,0.9,M1_RescueSched,1,0.06,0.30948590769088946,259.0,300.0,0.144132447954056,0.27,0.27,13.6877,28.6528,14.235,0.0,0.27,0.037037,0.0684932
control-accounting-unit,control-cost,normalized-1us-per-operation,W2,0.85,L0_RandomCore,1,0.445,0.13970857546339824,274.0,356.0,0.0,0.0,0.0,0.0,0.0,1.03,1.03,0.0,0.0,0.445
control-accounting-unit,control-cost,normalized-1us-per-operation,W2,0.85,L1_WorkStealingPolling,1,0.02,0.341106856943961,104.0,111.0,0.7334409515717927,0.765,0.0,0.0,0.0,3.68,3.68,0.0,0.0,0.02
control-accounting-unit,control-cost,normalized-1us-per-operation,W2,0.85,M0_AltoThreshold,1,0.005,0.31254908119993713,196.0,205.0,0.23169073916737468,0.425,0.0,0.0,0.0,13.29,13.29,0.0,0.0,0.005
control-accounting-unit,control-cost,normalized-1us-per-operation,W2,0.85,M1_RescueSched,1,0.005,0.31254908119993713,196.0,205.0,0.23169073916737468,0.425,0.425,0.0,0.0,22.86,22.86,0.425,0.0117647,0.0
control-accounting-unit,control-cost,normalized-1us-per-operation,W3,0.7,L0_RandomCore,1,0.26,0.2008135663132529,313.0,324.0,0.0,0.0,0.0,13.8404,28.861,1.035,1.035,0.0,0.0,0.26
control-accounting-unit,control-cost,normalized-1us-per-operation,W3,0.7,L1_WorkStealingPolling,1,0.005,0.298135827087213,181.0,286.0,0.5884816941852118,0.67,0.0,13.8823,28.7937,4.09,4.09,0.0,0.0,0.005
control-accounting-unit,control-cost,normalized-1us-per-operation,W3,0.7,M0_AltoThreshold,1,0.025,0.273093944316845,215.0,288.0,0.1302708183776023,0.24,0.0,13.6415,28.7849,16.19,16.19,0.0,0.0,0.025
