profile,dimension,value,workload,rho,method,seeds,slo_violation_median,slo_goodput_per_us_median,P99_us_median,P999_us_median,migrated_work_rate_median,handoffs_per_request_median,rescue_moves_per_request_median,estimator_mae_us_median,estimator_rmse_us_median,control_operations_per_request_median,configured_control_cost_per_request_us_median,rescue_migrated_fraction_median,rescue_migrated_miss_rate_median,rescue_nonmigrated_miss_rate_median
epsilon-0,epsilon-us,0,W2,0.85,L1_WorkStealingPolling,1,0.02,0.341106856943961,104.0,111.0,0.7334409515717927,0.765,0.0,0.0,0.0,3.68,0.0,0.0,0.0,0.02
epsilon-0,epsilon-us,0,W2,0.85,M0_AltoThreshold,1,0.005,0.31254908119993713,196.0,205.0,0.23169073916737468,0.425,0.0,0.0,0.0,13.29,0.0,0.0,0.0,0.005
epsilon-0,epsilon-us,0,W2,0.85,M1_RescueSched,1,0.005,0.31254908119993713,196.0,205.0,0.23169073916737468,0.425,0.425,0.0,0.0,22.86,0.0,0.425,0.0117647,0.0
epsilon-0,epsilon-us,0,W3,0.7,L0_RandomCore,1,0.26,0.2008135663132529,313.0,324.0,0.0,0.0,0.0,13.8404,28.861,1.035,0.0,0.0,0.0,0.26
epsilon-0,epsilon-us,0,W3,0.7,L1_WorkStealingPolling,1,0.005,0.298135827087213,181.0,286.0,0.5884816941852118,0.67,0.0,13.8823,28.7937,4.09,0.0,0.0,0.0,0.005
epsilon-0,epsilon-us,0,W3,0.7,M0_AltoThreshold,1,0.025,0.273093944316845,215.0,288.0,0.1302708183776023,0.24,0.0,13.6415,28.7849,16.19,0.0,0.0,0.0,0.025
epsilon-0,epsilon-us,0,W3,0.7,M1_RescueSched,1,0.025,0.273093944316845,215.0,288.0,0.1302708183776023,0.24,0.24,13.6415,28.7849,31.295,0.0,0.24,0.0208333,0.0263158
epsilon-0,epsilon-us,0,W3,0.85,L0_RandomCore,1,0.315,0.21000545707611087,327.0,342.0,0.0,0.0,0.0,13.7859,28.7046,1.045,0.0,0.0,0.0,0.315
epsilon-0,epsilon-us,0,W3,0.85,L1_WorkStealingPolling,1,0.005,0.3414304391241537,181.0,286.0,0.7108991385498923,0.745,0.0,13.7783,28.7364,3.735,0.0,0.0,0.0,0.005
epsilon-0,epsilon-us,0,W3,0.85,M0_AltoThreshold,1,0.025,0.32723501515349834,250.0,297.0,0.15853068916008614,0.29,0.0,13.6922,28.6859,19.2,0.0,0.0,0.0,0.025
epsilon-0,epsilon-us,0,W3,0.85,M1_RescueSched,1,0.025,0.32723501515349834,250.0,297.0,0.15853068916008614,0.29,0.29,13.6922,28.6859,36.575,0.0,0.29,0.0,0.0352113
epsilon-0,epsilon-us,0,W3,0.9,L0_RandomCore,1,0.35,0.2053582711992923,331.0,347.0,0.0,0.0,0.0,13.7521,28.6499,1.045,0.0,0.0,0.0,0.35
epsilon-0,epsilon-us,0,W3,0.9,L1_WorkStealingPolling,1,0.005,0.3538639633119533,181.0,286.0,0.693856783919598,0.76,0.0,13.474,28.4811,3.65,0.0,0.0,0.0,0.005
epsilon-0,epsilon-us,0,W3,0.9,M0_AltoThreshold,1,0.035,0.3271729880556431,259.0,300.0,0.16210821966977748,0.295,0.0,13.632,28.5841,20.835,0.0,0.0,0.0,0.035
epsilon-0,epsilon-us,0,W3,0.9,M1_RescueSched,1,0.035,0.3271729880556431,259.0,300.0,0.1622056712132089,0.295,0.295,13.6204,28.5823,40.65,0.0,0.295,0.0,0.0496454
epsilon-5,epsilon-us,5,W2,0.85,L0_RandomCore,1,0.445,0.13970857546339824,274.0,356.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.445
epsilon-5,epsilon-us,5,W2,0.85,L1_WorkStealingPolling,1,0.02,0.341106856943961,104.0,111.0,0.7334409515717927,0.765,0.0,0.0,0.0,3.68,0.0,0.0,0.0,0.02
epsilon-5,epsilon-us,5,W2,0.85,M0_AltoThreshold,1,0.005,0.31254908119993713,196.0,205.0,0.23169073916737468,0.425,0.0,0.0,0.0,13.29,0.0,0.0,0.0,0.005
epsilon-5,epsilon-us,5,W2,0.85,M1_RescueSched,1,0.005,0.31254908119993713,196.0,205.0,0.23169073916737468,0.425,0.425,0.0,0.0,22.86,0.0,0.425,0.0117647,0.0
epsilon-5,epsilon-us,5,W3,0.7,L0_RandomCore,1,0.26,0.2008135663132529,313.0,324.0,0.0,0.0,0.0,13.8404,28.861,1.035,0.0,0.0,0.0,0.26
epsilon-5,epsilon-us,5,W3,0.7,L1_WorkStealingPolling,1,0.005,0.298135827087213,181.0,286.0,0.5884816941852118,0.67,0.0,13.8823,28.7937,4.09,0.0,0.0,0.0,0.005
epsilon-5,epsilon-us,5,W3,0.7,M0_AltoThreshold,1,0.025,0.273093944316845,215.0,288.0,0.1302708183776023,0.24,0.0,13.6415,28.7849,16.19,0.0,0.0,0.0,0.025
epsilon-5,epsilon-us,5,W3,0.7,M1_RescueSched,1,0.025,0.273093944316845,215.0,288.0,0.1302708183776023,0.24,0.24,13.6415,28.7849,31.295,0.0,0.24,0.0208333,0.0263158
epsilon-5,epsilon-us,5,W3,0.85,L0_RandomCore,1,0.315,0.21000545707611087,327.0,342.0,0.0,0.0,0.0,13.7859,28.7046,1.045,0.0,0.0,0.0,0.315
epsilon-5,epsilon-us,5,W3,0.85,L1_WorkStealingPolling,1,0.005,0.3414304391241537,181.0,286.0,0.7108991385498923,0.745,0.0,13.7783,28.7364,3.735,0.0,0.0,0.0,0.005
epsilon-5,epsilon-us,5,W3,0.85,M0_AltoThreshold,1,0.025,0.32723501515349834,250.0,297.0,0.15853068916008614,0.29,0.0,13.6922,28.6859,19.2,0.0,0.0,0.0,0.025
epsilon-5,epsilon-us,5,W3,0.85,M1_RescueSched,1,0.025,0.32723501515349834,250.0,297.0,0.15853068916008614,0.29,0.29,13.6922,28.6859,36.575,0.0,0.29,0.0,0.0352113
epsilon-5,epsilon-us,5,W3,0.9,L0_RandomCore,1,0.35,0.2053582711992923,331.0,347.0,0.0,0.0,0.0,13.7521,28.6499,1.045,0.0,0.0,0.0,0.35
epsilon-5,epsilon-us,5,W3,0.9,L1_WorkStealingPolling,1,0.005,0.3538639633119533,181.0,286.0,0.693856783919598,0.76,0.0,13.474,28.4811,3.65,0.0,0.0,0.0,0.005
epsilon-5,epsilon-us,5,W3,0.9,M0_AltoThreshold,1,0.035,0.3271729880556431,259.0,300.0,0.16210821966977748,0.295,0.0,13.632,28.5841,20.835,0.0,0.0,0.0,0.035
epsilon-5,epsilon-us,5,W3,0.9,M1_RescueSched,1,0.035,0.3271729880556431,259.0,300.0,0.1622056712132089,0.295,0.295,13.6204,28.5823,40.65,0.0,0.295,0.0,0.0496454
ewma-0.01,ewma-alpha,0.01,W2,0.85,L0_RandomCore,1,0.445,0.13970857546339824,274.0,356.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.445
ewma-0.01,ewma-alpha,0.01,W2,0.85,L1_WorkStealingPolling,1,0.02,0.341106856943961,104.0,111.0,0.7334409515717927,0.765,0.0,0.0,0.0,3.68,0.0,0.0,0.0,0.02
ewma-0.01,ewma-alpha,0.01,W2,0.85,M0_AltoThreshold,1,0.005,0.31254908119993713,196.0,205.0,0.23169073916737468,0.425,0.0,0.0,0.0,13.29,0.0,0.0,0.0,0.005
ewma-0.01,ewma-alpha,0.01,W2,0.85,M1_RescueSched,1,0.005,0.31254908119993713,196.0,205.0,0.23169073916737468,0.425,0.425,0.0,0.0,22.86,0.0,0.425,0.0117647,0.0
ewma-0.01,ewma-alpha,0.01,W3,0.7,L0_RandomCore,1,0.26,0.2008135663132529,313.0,324.0,0.0,0.0,0.0,13.2666,28.3268,1.035,0.0,0.0,0.0,0.26
ewma-0.01,ewma-alpha,0.01,W3,0.7,L1_WorkStealingPolling,1,0.005,0.298135827087213,181.0,286.0,0.5687778176597272,0.67,0.0,13.282,28.3271,4.09,0.0,0.0,0.0,0.005
ewma-0.01,ewma-alpha,0.01,W3,0.7,M0_AltoThreshold,1,0.025,0.273093944316845,215.0,288.0,0.12966636755204594,0.235,0.0,13.2244,28.3207,15.495,0.0,0.0,0.0,0.025
ewma-0.01,ewma-alpha,0.01,W3,0.7,M1_RescueSched,1,0.025,0.273093944316845,215.0,288.0,0.12966636755204594,0.235,0.235,13.2244,28.3207,30.075,0.0,0.235,0.0,0.0326797
ewma-0.01,ewma-alpha,0.01,W3,0.85,L0_RandomCore,1,0.315,0.21000545707611087,327.0,342.0,0.0,0.0,0.0,13.2332,28.294,1.045,0.0,0.0,0.0,0.315
ewma-0.01,ewma-alpha,0.01,W3,0.85,L1_WorkStealingPolling,1,0.005,0.3414304391241537,181.0,286.0,0.6858686288585786,0.745,0.0,13.2212,28.3194,3.735,0.0,0.0,0.0,0.005
ewma-0.01,ewma-alpha,0.01,W3,0.85,M0_AltoThreshold,1,0.025,0.30352036932981147,250.0,297.0,0.15097666905958362,0.285,0.0,13.2089,28.3012,20.18,0.0,0.0,0.0,0.025
ewma-0.01,ewma-alpha,0.01,W3,0.85,M1_RescueSched,1,0.025,0.30352036932981147,250.0,297.0,0.15097666905958362,0.285,0.285,13.2089,28.3012,38.52,0.0,0.285,0.0,0.034965
ewma-0.01,ewma-alpha,0.01,W3,0.9,L0_RandomCore,1,0.35,0.2053582711992923,331.0,347.0,0.0,0.0,0.0,13.1942,28.2663,1.045,0.0,0.0,0.0,0.35
ewma-0.01,ewma-alpha,0.01,W3,0.9,L1_WorkStealingPolling,1,0.005,0.3538639633119533,181.0,286.0,0.6729468772433597,0.76,0.0,13.1582,28.2732,3.65,0.0,0.0,0.0,0.005
ewma-0.01,ewma-alpha,0.01,W3,0.9,M0_AltoThreshold,1,0.035,0.3271729880556431,259.0,300.0,0.15959834888729363,0.29,0.0,13.1704,28.2692,20.605,0.0,0.0,0.0,0.035
ewma-0.01,ewma-alpha,0.01,W3,0.9,M1_RescueSched,1,0.035,0.3271729880556431,259.0,300.0,0.16178481694185212,0.295,0.295,13.1691,28.2692,40.32,0.0,0.295,0.0,0.0496454
ewma-0.20,ewma-alpha,0.20,W2,0.85,L0_RandomCore,1,0.445,0.13970857546339824,274.0,356.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.445
ewma-0.20,ewma-alpha,0.20,W2,0.85,L1_WorkStealingPolling,1,0.02,0.341106856943961,104.0,111.0,0.7334409515717927,0.765,0.0,0.0,0.0,3.68,0.0,0.0,0.0,0.02
ewma-0.20,ewma-alpha,0.20,W2,0.85,M0_AltoThreshold,1,0.005,0.31254908119993713,196.0,205.0,0.23169073916737468,0.425,0.0,0.0,0.0,13.29,0.0,0.0,0.0,0.005
ewma-0.20,ewma-alpha,0.20,W2,0.85,M1_RescueSched,1,0.005,0.31254908119993713,196.0,205.0,0.23169073916737468,0.425,0.425,0.0,0.0,22.86,0.0,0.425,0.0117647,0.0
ewma-0.20,ewma-alpha,0.20,W3,0.7,L0_RandomCore,1,0.26,0.2008135663132529,313.0,324.0,0.0,0.0,0.0,14.7475,31.1304,1.035,0.0,0.0,0.0,0.26
ewma-0.20,ewma-alpha,0.20,W3,0.7,L1_WorkStealingPolling,1,0.005,0.298135827087213,181.0,286.0,0.6016098348887293,0.67,0.0,14.8006,30.2793,4.09,0.0,0.0,0.0,0.005
ewma-0.20,ewma-alpha,0.20,W3,0.7,M0_AltoThreshold,1,0.025,0.273093944316845,215.0,288.0,0.13315829145728642,0.25,0.0,14.3079,30.8575,16.03,0.0,0.0,0.0,0.025
ewma-0.20,ewma-alpha,0.20,W3,0.7,M1_RescueSched,1,0.02,0.2744944260825724,215.0,288.0,0.13334745154343144,0.25,0.25,14.3135,30.8571,30.375,0.0,0.25,0.02,0.02
ewma-0.20,ewma-alpha,0.20,W3,0.85,L0_RandomCore,1,0.315,0.21000545707611087,327.0,342.0,0.0,0.0,0.0,14.574,29.835,1.045,0.0,0.0,0.0,0.315
ewma-0.20,ewma-alpha,0.20,W3,0.85,L1_WorkStealingPolling,1,0.005,0.3414304391241537,181.0,286.0,0.7313801148600143,0.745,0.0,14.7912,30.2107,3.735,0.0,0.0,0.0,0.005
ewma-0.20,ewma-alpha,0.20,W3,0.85,M0_AltoThreshold,1,0.025,0.30352036932981147,250.0,297.0,0.15817785355348168,0.29,0.0,14.1545,29.6857,20.37,0.0,0.0,0.0,0.025
ewma-0.20,ewma-alpha,0.20,W3,0.85,M1_RescueSched,1,0.025,0.30352036932981147,250.0,297.0,0.1611521895190237,0.295,0.295,14.2647,29.7433,39.36,0.0,0.295,0.0,0.035461
ewma-0.20,ewma-alpha,0.20,W3,0.9,L0_RandomCore,1,0.35,0.2053582711992923,331.0,347.0,0.0,0.0,0.0,14.7438,30.2018,1.045,0.0,0.0,0.0,0.35
ewma-0.20,ewma-alpha,0.20,W3,0.9,L1_WorkStealingPolling,1,0.005,0.3538639633119533,181.0,286.0,0.7570477386934674,0.79,0.0,13.9184,29.2252,3.65,0.0,0.0,0.0,0.005
ewma-0.20,ewma-alpha,0.20,W3,0.9,M0_AltoThreshold,1,0.03,0.32886818488494696,259.0,300.0,0.16959583632447955,0.295,0.0,14.3704,29.7978,20.01,0.0,0.0,0.0,0.03
ewma-0.20,ewma-alpha,0.20,W3,0.9,M1_RescueSched,1,0.03,0.32886818488494696,259.0,300.0,0.16959583632447955,0.295,0.295,14.3704,29.7978,39.66,0.0,0.295,0.0,0.0425532
handoff-0,handoff-us,0,W2,0.85,L0_RandomCore,1,0.445,0.13970857546339824,274.0,356.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.445
handoff-0,handoff-us,0,W2,0.85,L1_WorkStealingPolling,1,0.01,0.3462749213011543,107.0,109.0,0.72982158028887,0.75,0.0,0.0,0.0,3.665,0.0,0.0,0.0,0.01
handoff-0,handoff-us,0,W2,0.85,M0_AltoThreshold,1,0.0,0.3020235578375113,192.0,199.0,0.25024638912489383,0.435,0.0,0.0,0.0,13.19,0.0,0.0,0.0,0.0
handoff-0,handoff-us,0,W2,0.85,M1_RescueSched,1,0.0,0.3020235578375113,192.0,199.0,0.25024638912489383,0.435,0.435,0.0,0.0,22.595,0.0,0.435,0.0,0.0
handoff-0,handoff-us,0,W3,0.7,L0_RandomCore,1,0.26,0.2008135663132529,313.0,324.0,0.0,0.0,0.0,13.8404,28.861,1.035,0.0,0.0,0.0,0.26
handoff-0,handoff-us,0,W3,0.7,L1_WorkStealingPolling,1,0.005,0.2979653012668766,180.0,286.0,0.5482250538406317,0.625,0.0,13.9158,28.8285,4.09,0.0,0.0,0.0,0.005
handoff-0,handoff-us,0,W3,0.7,M0_AltoThreshold,1,0.02,0.2744944260825724,215.0,288.0,0.12990900933237615,0.24,0.0,13.6198,28.7644,15.87,0.0,0.0,0.0,0.02
handoff-0,handoff-us,0,W3,0.7,M1_RescueSched,1,0.02,0.2744944260825724,215.0,288.0,0.12990900933237615,0.24,0.24,13.6198,28.7644,30.245,0.0,0.24,0.0,0.0263158
handoff-0,handoff-us,0,W3,0.85,L0_RandomCore,1,0.315,0.21000545707611087,327.0,342.0,0.0,0.0,0.0,13.7859,28.7046,1.045,0.0,0.0,0.0,0.315
handoff-0,handoff-us,0,W3,0.85,L1_WorkStealingPolling,1,0.005,0.3414181377098906,180.0,286.0,0.667654343144293,0.705,0.0,13.8195,28.7536,3.73,0.0,0.0,0.0,0.005
handoff-0,handoff-us,0,W3,0.85,M0_AltoThreshold,1,0.02,0.3114067003282481,250.0,297.0,0.1426832376166547,0.27,0.0,13.7286,28.7195,20.155,0.0,0.0,0.0,0.02
handoff-0,handoff-us,0,W3,0.85,M1_RescueSched,1,0.02,0.3114067003282481,250.0,297.0,0.1426832376166547,0.27,0.27,13.7286,28.7195,39.32,0.0,0.27,0.0,0.0273973
handoff-0,handoff-us,0,W3,0.9,L0_RandomCore,1,0.35,0.2053582711992923,331.0,347.0,0.0,0.0,0.0,13.7521,28.6499,1.045,0.0,0.0,0.0,0.35
handoff-0,handoff-us,0,W3,0.9,L1_WorkStealingPolling,1,0.005,0.35478758207805683,180.0,286.0,0.715245872218234,0.755,0.0,13.5187,28.5159,3.64,0.0,0.0,0.0,0.005
handoff-0,handoff-us,0,W3,0.9,M0_AltoThreshold,1,0.03,0.32914716950400574,259.0,300.0,0.1624513639626705,0.295,0.0,13.649,28.5987,20.74,0.0,0.0,0.0,0.03
handoff-0,handoff-us,0,W3,0.9,M1_RescueSched,1,0.03,0.32914716950400574,259.0,300.0,0.1625480976310122,0.295,0.295,13.6373,28.597,40.405,0.0,0.295,0.0,0.0425532
handoff-2,handoff-us,2,W2,0.85,L0_RandomCore,1,0.445,0.13970857546339824,274.0,356.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.445
handoff-2,handoff-us,2,W2,0.85,L1_WorkStealingPolling,1,0.01,0.34050456585667854,107.0,124.0,0.8686151231945625,0.79,0.0,0.0,0.0,3.715,0.0,0.0,0.0,0.01
handoff-2,handoff-us,2,W2,0.85,M0_AltoThreshold,1,0.01,0.324856439704676,183.0,198.0,0.19819881053525915,0.42,0.0,0.0,0.0,13.12,0.0,0.0,0.0,0.01
handoff-2,handoff-us,2,W2,0.85,M1_RescueSched,1,0.01,0.324856439704676,183.0,198.0,0.19819881053525915,0.42,0.42,0.0,0.0,23.655,0.0,0.42,0.0238095,0.0
handoff-2,handoff-us,2,W3,0.7,L0_RandomCore,1,0.26,0.2008135663132529,313.0,324.0,0.0,0.0,0.0,13.8404,28.861,1.035,0.0,0.0,0.0,0.26
handoff-2,handoff-us,2,W3,0.7,L1_WorkStealingPolling,1,0.005,0.29707567069684393,182.0,286.0,0.6310678391959799,0.705,0.0,13.8865,28.7944,4.1,0.0,0.0,0.0,0.005
handoff-2,handoff-us,2,W3,0.7,M0_AltoThreshold,1,0.03,0.2716934625511176,215.0,288.0,0.13006281407035178,0.24,0.0,13.6451,28.7978,16.45,0.0,0.0,0.0,0.03
handoff-2,handoff-us,2,W3,0.7,M1_RescueSched,1,0.03,0.2716934625511176,215.0,288.0,0.13006281407035178,0.24,0.24,13.6451,28.7978,32.455,0.0,0.24,0.0416667,0.0263158
handoff-2,handoff-us,2,W3,0.85,L0_RandomCore,1,0.315,0.21000545707611087,327.0,342.0,0.0,0.0,0.0,13.7859,28.7046,1.045,0.0,0.0,0.0,0.315
handoff-2,handoff-us,2,W3,0.85,L1_WorkStealingPolling,1,0.005,0.34025062279542384,182.0,286.0,0.7398420674802584,0.775,0.0,13.7123,28.6493,3.75,0.0,0.0,0.0,0.005
handoff-2,handoff-us,2,W3,0.85,M0_AltoThreshold,1,0.025,0.30981789063269577,250.0,297.0,0.14687365398420674,0.28,0.0,13.6827,28.6758,20.125,0.0,0.0,0.0,0.025
handoff-2,handoff-us,2,W3,0.85,M1_RescueSched,1,0.025,0.30981789063269577,250.0,297.0,0.1487526920315865,0.285,0.285,13.6843,28.6769,38.92,0.0,0.285,0.0175439,0.027972
handoff-2,handoff-us,2,W3,0.9,L0_RandomCore,1,0.35,0.2053582711992923,331.0,347.0,0.0,0.0,0.0,13.7521,28.6499,1.045,0.0,0.0,0.0,0.35
handoff-2,handoff-us,2,W3,0.9,L1_WorkStealingPolling,1,0.01,0.35115971382256855,182.0,286.0,0.7007591529073941,0.725,0.0,13.5213,28.4818,3.655,0.0,0.0,0.0,0.01
handoff-2,handoff-us,2,W3,0.9,M0_AltoThreshold,1,0.045,0.3229613697620231,259.0,300.0,0.1623756281407035,0.295,0.0,13.6499,28.5968,20.93,0.0,0.0,0.0,0.045
handoff-2,handoff-us,2,W3,0.9,M1_RescueSched,1,0.045,0.3229613697620231,259.0,300.0,0.1623756281407035,0.295,0.295,13.6499,28.5968,41.11,0.0,0.295,0.0169492,0.0567376
handoff-5,handoff-us,5,W2,0.85,L0_RandomCore,1,0.445,0.13970857546339824,274.0,356.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.445
handoff-5,handoff-us,5,W2,0.85,L1_WorkStealingPolling,1,0.03,0.33083219645293316,118.0,124.0,0.7710110450297366,0.72,0.0,0.0,0.0,3.74,0.0,0.0,0.0,0.03
handoff-5,handoff-us,5,W2,0.85,M0_AltoThreshold,1,0.02,0.3205233033524121,181.0,192.0,0.19457943925233642,0.405,0.0,0.0,0.0,13.52,0.0,0.0,0.0,0.02
handoff-5,handoff-us,5,W2,0.85,M1_RescueSched,1,0.02,0.3205233033524121,181.0,192.0,0.19457943925233642,0.405,0.405,0.0,0.0,24.97,0.0,0.405,0.0493827,0.0
handoff-5,handoff-us,5,W3,0.7,L0_RandomCore,1,0.26,0.2008135663132529,313.0,324.0,0.0,0.0,0.0,13.8404,28.861,1.035,0.0,0.0,0.0,0.26
handoff-5,handoff-us,5,W3,0.7,L1_WorkStealingPolling,1,0.005,0.2957511410197915,185.0,286.0,0.7189967695620962,0.72,0.0,13.9726,28.8281,4.115,0.0,0.0,0.0,0.005
handoff-5,handoff-us,5,W3,0.7,M0_AltoThreshold,1,0.02,0.2744944260825724,215.0,288.0,0.12754127781765973,0.235,0.0,13.6632,28.796,15.905,0.0,0.0,0.0,0.02
handoff-5,handoff-us,5,W3,0.7,M1_RescueSched,1,0.02,0.2744944260825724,215.0,288.0,0.12754127781765973,0.235,0.235,13.6632,28.796,30.73,0.0,0.235,0.0,0.0261438
handoff-5,handoff-us,5,W3,0.85,L0_RandomCore,1,0.315,0.21000545707611087,327.0,342.0,0.0,0.0,0.0,13.7859,28.7046,1.045,0.0,0.0,0.0,0.315
handoff-5,handoff-us,5,W3,0.85,L1_WorkStealingPolling,1,0.02,0.33341101583192,185.0,286.0,0.7468072505384064,0.73,0.0,13.7869,28.6998,3.765,0.0,0.0,0.0,0.02
handoff-5,handoff-us,5,W3,0.85,M0_AltoThreshold,1,0.04,0.3050514615460389,250.0,297.0,0.14907519741564967,0.285,0.0,13.6353,28.6298,20.465,0.0,0.0,0.0,0.04
handoff-5,handoff-us,5,W3,0.85,M1_RescueSched,1,0.04,0.3050514615460389,250.0,297.0,0.15385534816941854,0.295,0.295,13.6544,28.6486,40.255,0.0,0.295,0.0338983,0.0425532
handoff-5,handoff-us,5,W3,0.9,L0_RandomCore,1,0.35,0.2053582711992923,331.0,347.0,0.0,0.0,0.0,13.7521,28.6499,1.045,0.0,0.0,0.0,0.35
handoff-5,handoff-us,5,W3,0.9,L1_WorkStealingPolling,1,0.06,0.33500777823910644,188.0,286.0,0.6686486001435751,0.665,0.0,13.5127,28.5643,3.645,0.0,0.0,0.0,0.06
handoff-5,handoff-us,5,W3,0.9,M0_AltoThreshold,1,0.04,0.3384953880003385,259.0,300.0,0.16302835606604452,0.295,0.0,13.6666,28.6234,20.845,0.0,0.0,0.0,0.04
handoff-5,handoff-us,5,W3,0.9,M1_RescueSched,1,0.035,0.34025838481284026,259.0,300.0,0.16700143575017948,0.305,0.305,13.6684,28.6239,40.35,0.0,0.305,0.0163934,0.0431655
placement-flow-uniform,placement,flow-affine-uniform,W2,0.85,L0_RandomCore,1,0.395,0.16736540570895847,238.0,302.0,0.0,0.0,0.0,0.0,0.0,1.045,0.0,0.0,0.0,0.395
placement-flow-uniform,placement,flow-affine-uniform,W2,0.85,L1_WorkStealingPolling,1,0.02,0.3425866691836299,105.0,115.0,0.772965165675446,0.795,0.0,0.0,0.0,3.67,0.0,0.0,0.0,0.02
placement-flow-uniform,placement,flow-affine-uniform,W2,0.85,M0_AltoThreshold,1,0.0,0.3349287104239862,186.0,192.0,0.1389124893797791,0.375,0.0,0.0,0.0,11.815,0.0,0.0,0.0,0.0
placement-flow-uniform,placement,flow-affine-uniform,W2,0.85,M1_RescueSched,1,0.0,0.3349287104239862,186.0,192.0,0.1389124893797791,0.375,0.375,0.0,0.0,21.945,0.0,0.375,0.0,0.0
placement-flow-uniform,placement,flow-affine-uniform,W3,0.7,L0_RandomCore,1,0.265,0.18502947884622162,286.0,303.0,0.0,0.0,0.0,13.724,28.5793,1.03,0.0,0.0,0.0,0.265
placement-flow-uniform,placement,flow-affine-uniform,W3,0.7,L1_WorkStealingPolling,1,0.005,0.29812510767709605,181.0,286.0,0.617194903086863,0.63,0.0,13.9039,28.7977,4.085,0.0,0.0,0.0,0.005
placement-flow-uniform,placement,flow-affine-uniform,W3,0.7,M0_AltoThreshold,1,0.02,0.262705003726122,224.0,286.0,0.11996410624551329,0.215,0.0,13.8798,28.721,15.715,0.0,0.0,0.0,0.02
placement-flow-uniform,placement,flow-affine-uniform,W3,0.7,M1_RescueSched,1,0.025,0.2613646720744581,224.0,286.0,0.12224210337401292,0.22,0.22,13.8569,28.7542,27.735,0.0,0.22,0.0,0.0320513
placement-flow-uniform,placement,flow-affine-uniform,W3,0.85,L0_RandomCore,1,0.31,0.18810982342212662,302.0,327.0,0.0,0.0,0.0,13.6376,28.6764,1.045,0.0,0.0,0.0,0.31
placement-flow-uniform,placement,flow-affine-uniform,W3,0.85,L1_WorkStealingPolling,1,0.005,0.3414304391241537,181.0,287.0,0.7112365398420675,0.745,0.0,13.8026,28.7521,3.73,0.0,0.0,0.0,0.005
placement-flow-uniform,placement,flow-affine-uniform,W3,0.85,M0_AltoThreshold,1,0.03,0.2858047835470731,239.0,286.0,0.14763585786073222,0.26,0.0,13.7019,28.7877,18.755,0.0,0.0,0.0,0.03
placement-flow-uniform,placement,flow-affine-uniform,W3,0.85,M1_RescueSched,1,0.03,0.2858047835470731,239.0,286.0,0.14763585786073222,0.26,0.26,13.7019,28.7877,35.68,0.0,0.26,0.0192308,0.0337838
placement-flow-uniform,placement,flow-affine-uniform,W3,0.9,L0_RandomCore,1,0.325,0.18806497853969634,308.0,334.0,0.0,0.0,0.0,13.5948,28.665,1.05,0.0,0.0,0.0,0.325
placement-flow-uniform,placement,flow-affine-uniform,W3,0.9,L1_WorkStealingPolling,1,0.005,0.3538639633119533,181.0,286.0,0.7740631730078966,0.8,0.0,13.4754,28.4763,3.65,0.0,0.0,0.0,0.005
placement-flow-uniform,placement,flow-affine-uniform,W3,0.9,M0_AltoThreshold,1,0.03,0.3449729089573816,211.0,286.0,0.16478140703517588,0.285,0.0,13.5835,28.729,17.75,0.0,0.0,0.0,0.03
placement-flow-uniform,placement,flow-affine-uniform,W3,0.9,M1_RescueSched,1,0.03,0.3449729089573816,211.0,286.0,0.16478140703517588,0.285,0.285,13.5835,28.729,35.185,0.0,0.285,0.0,0.041958
placement-flow-zipf,placement,flow-affine-zipf-1.1,W2,0.85,L0_RandomCore,1,0.575,0.08628977324062767,529.0,537.0,0.0,0.0,0.0,0.0,0.0,1.045,0.0,0.0,0.0,0.575
placement-flow-zipf,placement,flow-affine-zipf-1.1,W2,0.85,L1_WorkStealingPolling,1,0.01,0.34665200690502784,104.0,114.0,0.7411384876805438,0.73,0.0,0.0,0.0,3.665,0.0,0.0,0.0,0.01
placement-flow-zipf,placement,flow-affine-zipf-1.1,W2,0.85,M0_AltoThreshold,1,0.0,0.3126465530717524,196.0,200.0,0.26110450297366183,0.48,0.0,0.0,0.0,14.895,0.0,0.0,0.0,0.0
placement-flow-zipf,placement,flow-affine-zipf-1.1,W2,0.85,M1_RescueSched,1,0.0,0.3126465530717524,196.0,200.0,0.26110450297366183,0.48,0.48,0.0,0.0,27.115,0.0,0.48,0.0,0.0
placement-flow-zipf,placement,flow-affine-zipf-1.1,W3,0.7,L0_RandomCore,1,0.36,0.08967541702571864,870.0,884.0,0.0,0.0,0.0,13.3993,28.5268,1.045,0.0,0.0,0.0,0.36
placement-flow-zipf,placement,flow-affine-zipf-1.1,W3,0.7,L1_WorkStealingPolling,1,0.005,0.2977423944772526,180.0,287.0,0.6235409188801149,0.67,0.0,13.9237,28.8136,4.09,0.0,0.0,0.0,0.005
