workload,rho,baseline,paired_seeds,mean_slo_reduction,ci95_low,ci95_high,relative_slo_reduction,rescue_work_rate_median,baseline_work_rate_median,relative_work_reduction,p99_rescue_over_baseline,p999_rescue_over_baseline,significant_rescue_win,no_more_migrated_work
W1,0.7,L1_WorkStealingPolling,5,0.01072,0.0044,0.0178,0.7836257309941521,0.2052206277338654,0.669017756097561,0.6932508504244562,1.8018867924528301,1.6583333333333334,1,1
W1,0.7,M0_AltoThreshold,5,0.00436,0.0020399999999999997,0.00668,0.5956284153005464,0.2052206277338654,0.2044511219512195,-0.00376376404933354,1.0,1.0,1,0
W1,0.85,L1_WorkStealingPolling,5,0.05372,0.0358,0.07624,0.5052671181339353,0.27308331392188834,0.7047099930118799,0.6124883758853059,1.3541666666666667,1.0695187165775402,1,1
W1,0.85,M0_AltoThreshold,5,0.01916,0.00784,0.02796,0.2670011148272018,0.27308331392188834,0.29503568413782516,0.07440581392751744,1.0209424083769634,1.0050251256281406,1,1
W2,0.7,L1_WorkStealingPolling,5,0.025520000000000004,0.00988,0.05168000000000002,0.35444444444444445,0.207355536796869,0.6371106341463415,0.6745376302269657,1.5483870967741935,1.041025641025641,1,1
W2,0.7,M0_AltoThreshold,5,0.0252,0.0051600000000000005,0.062360000000000006,0.35156250000000006,0.207355536796869,0.21566572020566344,0.03853270422795829,1.0158730158730158,1.020100502512563,1,1
W2,0.85,L1_WorkStealingPolling,5,0.0628,0.025240000000000002,0.10124,0.2803070880199964,0.25882521934932834,0.7028690731707318,0.6317589872296773,1.2085889570552146,1.275109170305677,1,1
W2,0.85,M0_AltoThreshold,5,0.07451999999999999,0.014160000000000002,0.13663999999999998,0.31608415337631485,0.25882521934932834,0.2781080975609756,0.06933591067918998,1.0102564102564102,1.424390243902439,1,1
W3,0.7,L1_WorkStealingPolling,5,-0.01148,-0.014560000000000002,-0.00864,-1.427860696517413,0.14686388644031734,0.6646676764894887,0.7790416299224987,1.2960526315789473,1.171875,0,1
W3,0.7,M0_AltoThreshold,5,0.0033999999999999994,0.0019599999999999986,0.0048400000000000006,0.1483420593368237,0.14686388644031734,0.14485394692847808,-0.013875628206607704,0.9899497487437185,0.9715025906735751,1,0
W3,0.85,L1_WorkStealingPolling,5,0.006520000000000001,0.001960000000000001,0.011080000000000001,0.13755274261603379,0.20389546803757766,0.6823701086142027,0.7011951938345298,1.3459119496855345,1.2125,1,1
W3,0.85,M0_AltoThreshold,5,0.009040000000000001,0.002760000000000001,0.01676,0.1810897435897436,0.20389546803757766,0.20714915346971033,0.015706969483746502,1.0288461538461537,1.0025839793281655,1,1
W3,0.9,L1_WorkStealingPolling,5,0.020200000000000003,0.01152,0.02936000000000001,0.1835029069767442,0.22292144802472538,0.6153940849265934,0.6377582211383843,1.3836477987421383,1.234375,1,1
W3,0.9,M0_AltoThreshold,5,0.021160000000000005,0.004960000000000001,0.03756000000000002,0.19056195965417871,0.22292144802472538,0.2430355025988632,0.08276179553625385,1.0377358490566038,1.020671834625323,1,1
