schema_version,trace_version,trace_sha256,rpc_method_model,deadline_model,offered_load_definition,warmup_requests,measurement_requests,measured_generated_work_us,experiment_duration_us,latency_sample_count,scenario,workload,method,rho,seed,check_period_us,epsilon_us,budget_per_check,k_candidates,h_targets,migration_cost_us,service_estimate_mode,service_estimate_noise_cv,service_estimate_ewma_alpha,w2_hot_core_count,w2_hot_dispatch_prob,target_insert_policy,hybrid_pressure_ratio,hybrid_min_gain_us,work_steal_poll_us,work_steal_max_per_poll,alto_queue_threshold_us,alto_min_gain_us,target_safety_enabled,rescuable_filter_enabled,P99_us,P999_us,slo_violation_rate,total_finished,total_generated,migration_rate,invalid_migration_ratio,intra_move_rate,intra_move_count,intra_moved_work_us,steal_attempt_count,steal_success_count,stolen_task_count,steal_poll_count,steal_idle_core_check_count,proactive_intra_attempt_count,proactive_intra_success_count,invalid_intra_move_ratio,rescue_attempt_count,rescue_candidate_count,locally_doomed_count,remote_feasible_count,target_safe_count,rescue_success_count,migration_handoff_count,avg_migration_handoff_us,max_migration_handoff_us,max_rescue_commits_per_check,max_target_reservation_work_us,descriptor_handoff_count,avg_descriptor_handoff_us,max_descriptor_handoff_us,rescue_moved_work_us,target_unsafe_reject_count,remote_infeasible_reject_count,needless_migration_count,unsaved_migration_count,beneficial_migration_count,harmful_migration_count,predicted_target_unsafe_accept_count,target_harm_watch_count,harmful_actual_count,harmful_actual_ratio,target_induced_miss_actual,beneficial_migration_ratio,useless_migration_ratio,rescue_per_migration,relief_attempt_count,relief_success_count,relief_beneficial_count,relief_useless_count,relief_moved_work_us,relief_beneficial_migration_ratio,relief_useless_migration_ratio
rescuesched-v2,rescuesched-trace-v2,3abc72611b86f908f52bc8b3cc747c8ff4fb01f0a69768afd597558ae6b27969,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,126779,10622.2,5000,rescue_w3_heavytail_main,W3,M0_AltoThreshold,0.85,59,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,188,341,0.0258,5000,5500,0,0,0.3166,1583,22531.2,0,0,0,0,0,9683,1583,0.00189514,0,0,0,0,0,0,0,0,0,0,69.2166,1583,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,3abc72611b86f908f52bc8b3cc747c8ff4fb01f0a69768afd597558ae6b27969,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,126779,10613.6,5000,rescue_w3_heavytail_main,W3,M1_RescueSched,0.85,59,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,186,341,0.0258,5000,5500,0,0,0.3256,1628,23214.4,0,0,0,0,0,0,0,0,9674,82729,2398,7081,7081,1628,1628,0.5,0.5,1,65.1165,1628,0.5,0.5,23214.4,0,2511,0,21,1607,3,0,113,3,0.00184275,3,0.987101,0.014742,0.987101,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,b8f6e86150b6960d41a569c67e05fdace3de91ecc32080516f6df7e9f9114fcf,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,131596,11427.8,5000,rescue_w3_heavytail_main,W3,L0_RandomCore,0.9,11,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,1.61e+03,1.79e+03,0.67,5000,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,b8f6e86150b6960d41a569c67e05fdace3de91ecc32080516f6df7e9f9114fcf,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,131596,10131,5000,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.9,11,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,159,320,0.096,5000,5500,0,0,0.5812,2906,80983.4,17374,2906,2906,9179,14070,0,0,0,0,0,0,0,0,0,0,0,0,0,78.6016,2906,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,b8f6e86150b6960d41a569c67e05fdace3de91ecc32080516f6df7e9f9114fcf,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,131596,10201.9,5000,rescue_w3_heavytail_main,W3,M0_AltoThreshold,0.9,11,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,212,387,0.0856,5000,5500,0,0,0.3996,1998,31982.5,0,0,0,0,0,9250,1998,0.0125125,0,0,0,0,0,0,0,0,0,0,80.311,1998,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,b8f6e86150b6960d41a569c67e05fdace3de91ecc32080516f6df7e9f9114fcf,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,131596,10209.1,5000,rescue_w3_heavytail_main,W3,M1_RescueSched,0.9,11,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,220,395,0.0692,5000,5500,0,0,0.3716,1858,30615.5,0,0,0,0,0,0,0,0,9258,117321,17847,8765,7856,1858,1858,0.5,0.5,1,83.1422,1858,0.5,0.5,30615.5,909,62623,0,50,1808,17,0,360,17,0.00914962,18,0.973089,0.0360603,0.973089,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,dc2df282a61a437de63ef5bec367400f9ef236898768f2d4f4ee8d93f33eea6c,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,133006,11060.4,5000,rescue_w3_heavytail_main,W3,L0_RandomCore,0.9,23,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,1.07e+03,1.24e+03,0.7224,5000,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,dc2df282a61a437de63ef5bec367400f9ef236898768f2d4f4ee8d93f33eea6c,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,133006,9956.69,5000,rescue_w3_heavytail_main,W3,L1_WorkStealingPolling,0.9,23,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,186,393,0.1978,5000,5500,0,0,0.4752,2376,67886.2,12760,2376,2376,9042,10068,0,0,0,0,0,0,0,0,0,0,0,0,0,77.4374,2376,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,dc2df282a61a437de63ef5bec367400f9ef236898768f2d4f4ee8d93f33eea6c,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,133006,10021.7,5000,rescue_w3_heavytail_main,W3,M0_AltoThreshold,0.9,23,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,233,438,0.2126,5000,5500,0,0,0.4808,2404,39255.8,0,0,0,0,0,9107,2404,0.0336938,0,0,0,0,0,0,0,0,0,0,81.2761,2404,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rescuesched-v2,rescuesched-trace-v2,dc2df282a61a437de63ef5bec367400f9ef236898768f2d4f4ee8d93f33eea6c,explicit-short-long-method,server-side-method-budget,actual-service-plus-host,500,5000,133006,10022.7,5000,rescue_w3_heavytail_main,W3,M1_RescueSched,0.9,23,1,2,1,16,4,0.5,ewma,0,0.05,4,0.5,append_tail,1.25,5,1,16,40,0,1,1,232,449,0.1614,5000,5500,0,0,0.3626,1813,32163.7,0,0,0,0,0,0,0,0,9108,165343,54764,9573,7178,1813,1813,0.5,0.5,1,78.0069,1813,0.5,0.5,32163.7,2395,209483,0,113,1700,50,0,623,50,0.0275786,54,0.937672,0.0899062,0.937672,0,0,0,0,0,0,0
